GRB_id,logTa_best,logTa_min,logTa_max,logTt,logTfinal,alpha_best,alpha_min,alpha_max,logFa,logFa_min,logFa_max
GRB160504A,4.23844,4.1825,4.29437,2.3,5.5,1.22333,1.14107,1.30559,-11.5015,-11.5498,-11.4532
GRB160630A,3.54193,3.49939,3.58447,1.8,6,1.18101,1.1431,1.21891,-10.3254,-10.3576,-10.2931
GRB160705B,4.56399,4.43894,4.68903,3,6,0.734183,0.673449,0.794917,-11.9322,-11.9945,-11.8698
GRB160815A,3.17448,3.06019,3.28876,2.5,6,0.988304,0.939595,1.03701,-10.3999,-10.4747,-10.3251
GRB160824A,3.83339,3.77297,3.89381,2.5,5,1.11257,1.04256,1.18257,-10.3081,-10.3566,-10.2596
GRB160905A,3.06527,3.056,3.07455,2.2,6,1.26565,1.25702,1.27427,-8.9155,-8.92382,-8.90718
GRB161001A,3.39412,3.31568,3.47256,2.5,5.4,1.28616,1.22827,1.34405,-10.0841,-10.1413,-10.0268
GRB161004B,2.43837,2.32159,2.55514,2.1,5,1.1167,1.08152,1.15187,-9.39802,-9.50943,-9.28661
GRB161113A,4.28684,4.1168,4.45688,2.5,6,0.867794,0.718209,1.01738,-11.9023,-12.0034,-11.8011
GRB161214B,4.17771,4.08781,4.26762,3,6,1.00484,0.930713,1.07898,-11.3198,-11.3842,-11.2554
GRB161217A,3.1149,2.95427,3.27554,2.5,5.2,0.825749,0.776785,0.874712,-11.1373,-11.2373,-11.0374
GRB170208B,3.45314,3.35042,3.55586,2.7,6,0.902264,0.859601,0.944926,-10.5809,-10.6382,-10.5235
GRB170317A,3.22899,3.17024,3.28775,1.6,5.2,1.17372,1.12312,1.22433,-10.7249,-10.7726,-10.6772
GRB170331A,3.79838,3.57528,4.02148,2.8,5,1.16101,0.83167,1.49035,-11.5069,-11.6854,-11.3284
GRB170711A,3.57249,3.43804,3.70694,2.5,6,0.778258,0.710314,0.846202,-10.9417,-11.0094,-10.8739
GRB170803A,2.96196,2.91293,3.01099,2.3,5.4,1.18713,1.16062,1.21363,-10.1971,-10.2438,-10.1505
GRB170822A,3.747,3.71092,3.78308,2.6,5.3,1.9641,1.90805,2.02021,-9.90552,-9.97167,-9.83938
GRB171027A,3.26278,3.19565,3.32991,2.5,6,1.19637,1.15578,1.23697,-9.95031,-10.0025,-9.89811
GRB171120A,4.53418,4.46604,4.60233,3,5.8,0.969833,0.887385,1.05228,-10.9086,-10.9559,-10.8613
GRB171123A,3.76961,3.58858,3.95065,2.5,5,0.90234,0.771905,1.03278,-11.4263,-11.5427,-11.3098
GRB171211A,2.93112,2.60764,3.25461,2.3,5,1.03336,0.932341,1.13437,-10.6388,-10.863,-10.4146
GRB180115A,3.62081,3.57206,3.66955,2.5,5.4,1.17047,1.12123,1.21971,-10.9141,-10.9532,-10.875
GRB180224A,3.46482,3.39004,3.53959,2.1,5,1.84815,1.7107,1.9856,-10.5124,-10.5902,-10.4346
GRB180314A,3.19213,3.11008,3.27418,2.7,6,1.01924,0.993869,1.0446,-10.3733,-10.4357,-10.311
GRB180316A,2.70967,2.60196,2.81738,2,6,1.3171,1.28598,1.3483,-9.13278,-9.28671,-8.97884
GRB180331B,4.3889,4.32621,4.45159,2.4,6,1.09515,1.02019,1.1701,-11.3357,-11.3804,-11.291
GRB180411A,3.9963,3.94838,4.04421,2.5,6,1.34166,1.29119,1.39214,-10.2597,-10.3051,-10.2143
GRB180425A,4.48348,4.29695,4.67001,3.4,6,0.96255,0.819402,1.1057,-11.8748,-11.9867,-11.7629
GRB180514A,4.17677,4.02658,4.32696,2.7,5.4,0.793297,0.66998,0.916613,-11.8389,-11.9229,-11.7549
GRB180614A,3.04737,2.75053,3.3442,1.5,4.5,0.9061,0.802618,1.0096,-10.4888,-10.734,-10.2437
GRB180623A,3.69917,3.66359,3.73476,2.25,5,1.81399,1.72523,1.90275,-9.90005,-9.94788,-9.85221
GRB180626A,3.89183,3.84961,3.93405,2.2,6,1.12702,1.08667,1.16737,-10.8016,-10.8338,-10.7694
GRB180630A,3.09267,2.98925,3.19609,2.2,5.4,0.863273,0.826638,0.899908,-9.96603,-10.0311,-9.901
GRB180706A,3.79087,3.71,3.87174,2.5,6,0.880109,0.815869,0.944348,-11.2568,-11.3022,-11.2114
GRB180720C,3.49451,3.29071,3.69831,2.36,5,0.727455,0.62519,0.829721,-10.9196,-11.0397,-10.7995
GRB180721A,3.82343,3.67128,3.97557,2.5,4.2,1.74717,1.34316,2.15118,-11.727,-11.9189,-11.5351
GRB180818B,4.06908,3.99793,4.14022,2.8,5,1.12225,1.03654,1.20795,-10.9776,-11.0377,-10.9175
GRB180821A,4.73545,4.63174,4.83917,3.2,5.8,1.07187,0.951948,1.19179,-11.6604,-11.7337,-11.5872
GRB180823A,3.1323,3.01649,3.24811,2.2,5,1.14145,1.08268,1.20023,-10.3003,-10.3996,-10.2011
GRB180924A,3.5304,3.41447,3.64633,2.67,5.3,1.01997,0.948525,1.09141,-10.8965,-10.9889,-10.8042
GRB180925A,3.18075,3.1003,3.2612,2.57,4.4,1.36178,1.28031,1.44326,-10.997,-11.0798,-10.9143
GRB180930A,2.92673,2.82586,3.0276,2,3.5,2.73814,2.39164,3.08464,-10.3967,-10.6017,-10.1917
GRB181023A,3.29862,3.08311,3.51414,2,5.8,1.164,1.12642,1.20174,-9.40653,-9.65735,-9.1557
GRB181103A,3.71006,3.63154,3.78859,2.05,5.6,0.81937,0.773867,0.864873,-11.0113,-11.0566,-10.9659
GRB190109A,3.4605,3.32135,3.59964,2.99,5.2,1.20586,1.10478,1.30693,-10.929,-11.0495,-10.8086
GRB190202A,3.28863,3.27719,3.30008,1.8,6,1.44109,1.42653,1.45566,-9.44352,-9.45556,-9.43148
GRB190203A,2.80793,2.79176,2.82409,2.26,5.4,1.39866,1.381,1.41631,-8.81988,-8.83625,-8.80352
GRB190204A,2.5734,2.56146,2.58534,1.9,5.4,1.44147,1.4307,1.45225,-8.67607,-8.68869,-8.66346
GRB190211A,3.41868,3.34935,3.48801,2,5.65,1.2215,1.18553,1.2575,-10.5104,-10.5788,-10.4419
GRB190219A,4.52688,4.37567,4.67809,2.9,5.6,0.9296,0.812707,1.04649,-11.5912,-11.6676,-11.5147
GRB190311A,3.73931,3.62363,3.855,2.8,5.8,0.854671,0.773445,0.935898,-11.0329,-11.0984,-10.9673
GRB190422A,4.20616,4.09445,4.31788,2.93,5,0.875,0.795146,0.954872,-10.4101,-10.4891,-10.331
GRB190511A,4.39622,4.28612,4.50633,3.5,5.5,2.18128,1.86958,2.49298,-11.577,-11.7533,-11.4007
GRB190515B,3.68578,3.51994,3.85161,2.4,5.1,0.948964,0.809895,1.08803,-11.2285,-11.3378,-11.1192
GRB190519A,3.34823,3.29979,3.39667,2.3,5.4,1.10892,1.08133,1.13652,-9.645,-9.67826,-9.61174
GRB190604B,3.5915,3.51187,3.67113,2.64,5,1.14658,1.09125,1.20192,-10.0302,-10.0889,-9.97149
GRB190613B,4.42656,4.35914,4.49398,3.2,6,0.987946,0.943971,1.03192,-10.9611,-11,-10.9221
GRB190706B,3.61223,3.45744,3.76702,2.6,5.4,0.994626,0.873939,1.11531,-11.2376,-11.3311,-11.144
GRB190719C,4.666,4.60248,4.72953,2.79,6,1.42354,1.35661,1.49047,-11.0479,-11.1253,-10.9705
GRB050315,4.86356,4.81844,4.90868,2.7,6,1.10818,1.05902,1.15735,-11.3757,-11.4082,-11.3433
GRB050319,3.73997,3.67804,3.8019,2.56,6,0.863159,0.828601,0.897717,-10.7047,-10.7464,-10.6631
GRB050401,3.12435,3.09602,3.15268,2,6,0.984108,0.958047,1.01017,-9.65399,-9.67345,-9.63454
GRB050416A,2.99481,2.92405,3.06558,2,6.5,0.842217,0.827268,0.857165,-10.5564,-10.6048,-10.508
GRB050730,4.05018,4.03239,4.06798,2.2,6,2.38763,2.33383,2.44143,-10.0984,-10.125,-10.0718
GRB050802,3.63973,3.60713,3.67233,2.1,6,1.44729,1.41455,1.48003,-10.2869,-10.3144,-10.2594
GRB050803,4.21721,4.16955,4.26487,2.6,6.2,1.52234,1.47364,1.57103,-10.8602,-10.9091,-10.8113
GRB050824,5.08558,4.95836,5.2128,2.1,7,0.954481,0.864503,1.04446,-12.2388,-12.3074,-12.1703
GRB050826,4.76235,4.62377,4.90093,4,6,1.801,1.56568,2.03644,-12.3335,-12.5675,-12.0994
GRB051016B,4.25742,4.19925,4.3156,2.3,6.1,1.14771,1.09917,1.19625,-11.5896,-11.635,-11.5443
GRB051109A,3.91123,3.86486,3.9576,2.3,6.1,1.22299,1.20383,1.24214,-10.5194,-10.5676,-10.4713
GRB051109B,3.65548,3.52884,3.78213,1,6.1,1.251,1.12883,1.37317,-11.5749,-11.6671,-11.4827
GRB051221A,4.20075,4.11566,4.28583,3,6.1,1.09586,1.0401,1.15162,-11.6936,-11.7566,-11.6306
GRB060115,3.69688,3.57387,3.8199,3,6,0.889919,0.836035,0.943803,-11.2952,-11.3764,-11.214
GRB060124,4.47599,4.43932,4.51265,3,6.4,1.3641,1.34783,1.38037,-10.6893,-10.7338,-10.6449
GRB060206,3.93814,3.8637,4.01258,2,6.4,1.17565,1.14698,1.20432,-10.6316,-10.7022,-10.5611
GRB060210,4.15028,4.11992,4.18065,2.8,6.4,1.20511,1.18214,1.22808,-10.6679,-10.6971,-10.6387
GRB060218,5.07614,4.9355,5.21678,4.2,6,1.3185,1.21034,1.42681,-11.8228,-11.983,-11.6626
GRB060223A,2.78682,2.55205,3.02159,2,4,1.1892,1.00915,1.36925,-10.9636,-11.1618,-10.7654
GRB060306,3.61496,3.57044,3.65948,2.4,6,1.03794,1.01296,1.06292,-10.7056,-10.7405,-10.6706
GRB060502A,3.3865,3.31142,3.46159,2.3,6.4,0.897152,0.876627,0.917678,-10.5532,-10.6099,-10.4964
GRB060510B,4.43617,4.11989,4.75245,3.2,6,1.00735,0.775981,1.23872,-12.2656,-12.4862,-12.045
GRB060526,3.8752,3.78304,3.96736,2.95,6,1.05873,0.996411,1.12104,-11.305,-11.3729,-11.2372
GRB060604,4.45991,4.40997,4.50985,2.6,6.2,1.21596,1.16901,1.26291,-11.7689,-11.8109,-11.727
GRB060605,4.04162,4.00425,4.079,2.31,5,1.9179,1.8329,2.0029,-11.2609,-11.3141,-11.2078
GRB060607A,4.37412,4.34828,4.39996,2.7,5.4,3.43151,3.2684,3.59463,-11.0226,-11.0987,-10.9465
GRB060614,5.03344,5.00454,5.06234,2.7,6.5,1.9453,1.88548,2.00514,-11.7815,-11.8244,-11.7386
GRB060708,3.50569,3.44297,3.56842,2.27,6.2,1.12969,1.10116,1.15821,-10.8688,-10.93,-10.8077
GRB060714,3.73449,3.68772,3.78125,2.46,6.2,1.20488,1.16958,1.24019,-10.8586,-10.8938,-10.8234
GRB060729,5.1057,5.09287,5.11852,2.75,7.2,1.35481,1.34139,1.36824,-11.1507,-11.1623,-11.1391
GRB060814,4.22387,4.18901,4.25872,3.03,6.2,1.29504,1.27047,1.3196,-10.9108,-10.9461,-10.8755
GRB060904B,3.87074,3.78945,3.95204,2.69,6.2,1.36265,1.3205,1.4048,-11.1163,-11.2029,-11.0296
GRB060906,4.33479,4.26264,4.40693,2.5,6,1.71887,1.54924,1.88851,-11.8833,-11.9717,-11.7948
GRB060908,2.81918,2.75925,2.87911,1.5,6,1.38309,1.33345,1.43273,-9.62707,-9.67226,-9.58189
GRB061021,3.23849,3.2045,3.27248,2.29,7,1.01707,1.00665,1.02748,-10.0409,-10.0673,-10.0145
GRB060927,3.15198,3.04355,3.26042,1.68,5.2,1.39098,1.2722,1.50977,-10.7768,-10.8579,-10.6956
GRB061121,3.78753,3.7705,3.80456,2.27,6.5,1.35185,1.336,1.3677,-10.0299,-10.0426,-10.0173
GRB061201,3.49343,3.39955,3.58732,1.5,5.2,1.98937,1.81986,2.15887,-10.4135,-10.5071,-10.3198
GRB070110,4.26825,4.21425,4.32224,2.4,6.5,1.42725,1.3807,1.47381,-11.0488,-11.1036,-10.9941
GRB070208,3.44468,3.30354,3.58582,2,5.2,1.2125,1.149,1.27614,-10.8636,-11.0255,-10.7017
GRB070306,4.86926,4.84102,4.8975,2.7,6.1,1.89982,1.83794,1.9617,-11.2737,-11.3072,-11.2402
