,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,3247.903,122.988,-145.295,2.93687886353933e-12,7.66659745708364e-13,-7.66659745708364e-13
1,3497.381,146.809,-126.489,3.04969341355643e-12,7.7337137035755e-13,-7.7337137035755e-13
2,3760.917,116.455,-116.727,3.42472553642085e-12,8.92496357964529e-13,-8.92496357964529e-13
3,4005.944,172.308,-128.572,2.69202168575841e-12,7.06334753604368e-13,-7.06334753604368e-13
4,4369.906,156.864,-191.654,2.31022174514294e-12,6.0719327163695e-13,-6.0719327163695e-13
5,4755.185,185.293,-228.415,1.97724521569241e-12,5.21458130016571e-13,-5.21458130016571e-13
6,5244.897,324.895,-304.419,2.3885607818753e-12,4.6177080637264e-13,-4.6177080637264e-13
7,9019.725,225.748,-218.049,1.56018073312782e-12,4.09130920308106e-13,-4.09130920308106e-13
8,9491.804,227.554,-246.33,1.44217487536946e-12,3.79332578045131e-13,-3.79332578045131e-13
9,9944.524,128.367,-225.166,1.9236245329527e-12,5.02916991452431e-13,-5.02916991452431e-13
10,10238.916,232.640,-166.025,1.70780299306317e-12,4.4537318172959e-13,-4.4537318172959e-13
11,10631.585,203.532,-160.029,1.87789432548664e-12,4.91208139079038e-13,-4.91208139079038e-13
12,11095.894,213.082,-260.778,1.55883613196515e-12,3.94666448255851e-13,-3.94666448255851e-13
13,14967.710,264.554,-277.029,1.36127238665738e-12,3.57448903249044e-13,-3.57448903249044e-13
14,15579.163,430.372,-346.899,9.38295420116116e-13,2.49983971450095e-13,-2.49983971450095e-13
15,16545.258,499.779,-535.722,8.11712328731027e-13,2.02847371956068e-13,-2.02847371956068e-13
16,21145.411,594.732,-714.093,5.75403625513028e-13,1.55285799524093e-13,-1.55285799524093e-13
17,24087.320,4429.242,-2347.178,7.29479355407084e-13,1.34360002160438e-13,-1.34360002160438e-13
18,64760.242,66414.049,-26231.84,1.53084353121911e-13,3.98822272252829e-14,-3.98822272252829e-14
19,190781.379,15453.536,-14974.381,9.628163716014e-14,4.97887517661787e-14,-3.77623178958354e-14
