,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,168.588,29.181,-33.502,1.46E-10,3.28E-11,-3.28E-11
1,247.834,30.169,-50.065,1.25E-10,2.68E-11,-2.68E-11
2,325.145,33.093,-47.141,1.14E-10,2.55E-11,-2.55E-11
3,418.272,97.927,-60.034,5.73E-11,1.30E-11,-1.30E-11
4,593.171,58.422,-76.973,6.81E-11,1.53E-11,-1.53E-11
5,711.039,60.905,-59.446,7.67E-11,1.72E-11,-1.72E-11
6,862.658,34.652,-90.714,3.75E-11,8.44E-12,-8.44E-12
7,940.746,29.276,-43.436,4.36E-11,9.76E-12,-9.76E-12
8,995.327,34.87,-25.305,5.37E-11,1.20E-11,-1.20E-11
9,1065.726,42.198,-35.529,4.18E-11,9.37E-12,-9.37E-12
10,1142.229,50.944,-34.305,3.82E-11,8.60E-12,-8.60E-12
11,1226.859,26.489,-33.686,5.73E-11,1.28E-11,-1.28E-11
12,1311.534,64.673,-58.186,2.92E-11,6.58E-12,-6.58E-12
13,1435.962,43.044,-59.755,3.57E-11,8.02E-12,-8.02E-12
14,1535.162,61.688,-56.155,3.16E-11,7.13E-12,-7.13E-12
15,1633.948,40.629,-37.098,4.90E-11,1.10E-11,-1.10E-11
16,1731.657,38.198,-57.08,3.80E-11,8.53E-12,-8.53E-12
17,1837.223,73.041,-67.368,2.38E-11,5.36E-12,-5.36E-12
18,2002.539,148.421,-92.275,2.21E-11,3.92E-12,-3.92E-12
19,6354.207,152.042,-148.835,5.47E-12,1.42E-12,-1.42E-12
20,6679.72,154.987,-173.47,5.02E-12,1.31E-12,-1.31E-12
21,6998.744,176.956,-164.037,4.87E-12,1.26E-12,-1.26E-12
22,7661.221,254.13,-485.52,3.94E-12,7.76E-13,-7.76E-13
23,23451.005,4772.3452,-1097.0423,4.04E-13,7.02E-14,-7.02E-14
