,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
103.233671170414,1.38920477525697,-1.21725320701204,1.27161317333801e-09,1.89560899777867e-10,-1.89560899777867e-10
107.894548744102,3.30128517732952,-3.27167279843148,9.64887536971199e-10,1.03446802309559e-10,-1.03446802309559e-10
121.999,2.055,-1.455,7.73105926386647e-10,1.36667083781132e-10,-1.36667124374545e-10
126.163,1.812,-2.109,6.13220015533265e-10,1.20500329532085e-10,-1.20500281305778e-10
129.436,1.821,-1.461,7.51056065320566e-10,1.42221658030229e-10,-1.42221618067558e-10
132.721,2.187,-1.463,1.03778917687172e-09,1.54704462372469e-10,-1.54704453528969e-10
136.610,1.742,-1.702,6.58332441979632e-10,1.34320039026775e-10,-1.34320071086607e-10
139.948,1.765,-1.595,6.31740937636482e-10,1.33913902262252e-10,-1.33913932088568e-10
143.494,1.801,-1.781,6.37029533481249e-10,1.16305162142266e-10,-1.16305127091165e-10
147.574,2.206,-2.28,6.65838993116453e-10,1.03986608070149e-10,-1.03986585217376e-10
151.727,2.259,-1.947,5.24473902145528e-10,9.93155792116288e-11,-9.93155377168029e-11
165.993,7.451,-7.593,4.36543391148343e-10,9.34616052773309e-11,-9.34616052773309e-11
182.263,8.732,-8.82,4.16810172279084e-10,8.73762462697871e-11,-8.73762462697871e-11
200.239,8.307,-9.244,4.4086103912172e-10,9.217130532677e-11,-9.217130532677e-11
216.345,9.753,-7.799,4.54484141005615e-10,9.71668298761292e-11,-9.71668298761292e-11
236.448,9.708,-10.35,4.26357492361275e-10,9.63692119593165e-11,-9.63692119593165e-11
257.260,11.462,-11.104,4.42334091121101e-10,9.99803986951496e-11,-9.99803986951496e-11
277.708,11.073,-8.986,4.25312145856449e-10,9.59844183619162e-11,-9.59844183619162e-11
299.336,14.518,-10.555,2.92455146948145e-10,6.57979391165283e-11,-6.57979391165283e-11
328.931,15.010,-15.078,2.32208479031522e-10,5.11945717021112e-11,-5.11945717021112e-11
362.638,13.898,-18.697,2.20150380403809e-10,4.74647124981555e-11,-4.74647124981555e-11
384.401,9.687,-7.864,3.97979341046346e-10,8.9127378779661e-11,-8.9127378779661e-11
407.453,9.201,-13.365,3.59577179758102e-10,8.05271953597057e-11,-8.05271953597057e-11
436.158,23.120,-19.504,2.26113202520825e-10,5.10292067738606e-11,-5.10292067738606e-11
481.466,17.930,-22.187,2.29767556374221e-10,5.16146773686233e-11,-5.16146773686233e-11
532.008,20.042,-32.612,1.69772591967108e-10,3.65004705983711e-11,-3.65004705983711e-11
574.958,24.730,-22.909,1.62929236603531e-10,3.68838175132896e-11,-3.68838175132896e-11
617.343,14.941,-17.654,2.51776407953421e-10,5.51835222054374e-11,-5.51835222054374e-11
655.455,24.467,-23.172,1.6955353982906e-10,3.72713526787562e-11,-3.72713526787562e-11
712.473,35.148,-32.55,1.08183724990845e-10,2.45666964954117e-11,-2.45666964954117e-11
778.157,22.117,-30.536,1.40636710998592e-10,3.17879958300545e-11,-3.17879958300545e-11
832.858,35.113,-32.584,1.13900772662794e-10,2.55865205196159e-11,-2.55865205196159e-11
899.024,24.108,-31.053,1.45637777456739e-10,3.19204128073055e-11,-3.19204128073055e-11
948.271,17.486,-25.138,1.71666275065586e-10,3.85036534048688e-11,-3.85036534048688e-11
980.868,14.977,-15.111,2.64759025983661e-10,5.66044050115356e-11,-5.66044050115356e-11
1001.353,7.028,-5.509,5.84896541370016e-10,1.31188558306551e-10,-1.31188558306551e-10
1021.028,7.412,-12.647,3.67651607066286e-10,8.29715865119415e-11,-8.29715865119415e-11
1036.182,7.302,-7.742,5.34659806153175e-10,1.14628109218247e-10,-1.14628109218247e-10
1053.906,12.143,-10.422,3.2702367314144e-10,7.1675983614776e-11,-7.1675983614776e-11
1073.187,7.907,-7.137,4.21881175970274e-10,9.46252394242663e-11,-9.46252394242663e-11
1088.073,5.557,-6.979,4.92469978065522e-10,1.07937934309163e-10,-1.07937934309163e-10
1109.324,14.394,-15.694,2.21007642177227e-10,4.71846705013972e-11,-4.71846705013972e-11
1138.550,15.256,-14.832,2.24007254957321e-10,4.90971697397795e-11,-4.90971697397795e-11
1166.544,12.335,-12.739,2.90706224699914e-10,6.22386677292992e-11,-6.22386677292992e-11
1206.500,45.091,-27.621,8.98527507447139e-11,2.03093328015254e-11,-2.03093328015254e-11
1292.148,39.677,-40.557,7.94714970660411e-11,1.80186330515179e-11,-1.80186330515179e-11
1360.439,31.561,-28.614,1.03095547113481e-10,2.32307022701665e-11,-2.32307022701665e-11
1426.575,60.704,-34.574,6.32054527372597e-11,1.42421949963056e-11,-1.42421949963056e-11
1533.658,53.913,-46.38,6.26248801874624e-11,1.42654039815795e-11,-1.42654039815795e-11
1654.515,101.046,-66.944,4.03888427854868e-11,9.22900434562475e-12,-9.22900434562475e-12
1808.078,42.761,-52.516,7.97298181178804e-11,1.80212592615893e-11,-1.80212592615893e-11
1994.423,114.656,-143.584,5.31738556311245e-11,8.9339251663008e-12,-8.9339251663008e-12
5548.577,94.536,-91.006,1.644028840632e-11,4.30488215790963e-12,-4.30488215790963e-12
5714.703,63.805,-71.59,1.00865225814784e-11,2.49779395088923e-12,-2.49779395088923e-12
5841.377,57.483,-62.868,1.31296551831187e-11,3.04043557935464e-12,-3.04043557935464e-12
5953.136,61.060,-54.277,1.45150202846322e-11,3.34712708795465e-12,-3.34712708795465e-12
6105.873,61.270,-91.677,1.13999499678134e-11,2.61462988944387e-12,-2.61462988944387e-12
