,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,5551.379,426.164,-263.343,1.30004455207398e-12,3.298923898295e-13,-3.298923898295e-13
1,11378.184,359.37,-392.82,1.08459535617253e-12,2.85381535859516e-13,-2.85381535859516e-13
2,17067.652,371.702,-395.532,1.16850618626823e-12,3.05282707861892e-13,-3.05282707861892e-13
3,23141.896,1758.017,-672.092,1.20628280933315e-12,2.5004970490717e-13,-2.5004970490717e-13
4,29641.092,982.932,-844.89,1.41932313027918e-12,2.88678508345597e-13,-2.88678508345597e-13
5,37746.279,4324.421,-2394.277,7.54494645209976e-13,1.57295954710597e-13,-1.57295954710597e-13
6,103313.726,7714.399,-6213.606,4.50386462619685e-13,1.05931578226044e-13,-1.05931578226044e-13
7,117430.35,4724.703,-2364.022,4.10490840878892e-13,1.08690206950504e-13,-1.08690206950504e-13
8,191490.066,16864.139,-14021.425,4.15818094934107e-13,8.23192697040422e-14,-8.23192697040422e-14
9,267863.28,3104.336,-4152.836,3.46010412632514e-13,7.99553593760005e-14,-7.99553593760005e-14
10,516028.711,64328.735,-107863.904,1.23440748717164e-13,3.32518390638703e-14,-3.32518390638703e-14
11,726710.25,78166.621,-128191.822,1.59676789454753e-13,3.9567825545738e-14,-3.9567825545738e-14
12,962271.048,94484.704,-118024.873,7.25751296983406e-14,2.60642834336338e-14,-2.14722955335808e-14
