,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,298.397,41.339,-36.388,2.17E-11,4.78E-12,-4.78E-12
1,426.267,73.936,-86.531,9.86E-12,2.24E-12,-2.24E-12
2,602.2,63.485,-101.997,1.63E-11,3.71E-12,-3.71E-12
3,697.521,48.398,-31.836,5.52E-11,1.24E-11,-1.24E-11
4,790.449,48.241,-44.53,4.76E-11,1.08E-11,-1.08E-11
5,878.737,35.173,-40.047,6.25E-11,1.38E-11,-1.38E-11
6,951.891,29.715,-37.982,7.33E-11,1.58E-11,-1.58E-11
7,1015.278,29.011,-33.672,7.56E-11,1.66E-11,-1.66E-11
8,1074.894,24.556,-30.605,8.28E-11,1.87E-11,-1.87E-11
9,1124.461,20.12,-25.011,1.00E-10,2.27E-11,-2.27E-11
10,1175.651,31.613,-31.069,7.15E-11,1.62E-11,-1.62E-11
11,1236.461,30.979,-29.197,7.33E-11,1.67E-11,-1.67E-11
12,1301.579,18.514,-34.14,8.37E-11,1.89E-11,-1.89E-11
13,1343.348,24.383,-23.256,9.34E-11,2.11E-11,-2.11E-11
14,1387.432,27.938,-19.701,9.39E-11,2.12E-11,-2.12E-11
15,1434.358,26.144,-18.987,9.87E-11,2.26E-11,-2.26E-11
16,1485.434,25.214,-24.932,9.50E-11,2.10E-11,-2.10E-11
17,1542.481,23.328,-31.832,9.21E-11,1.99E-11,-1.99E-11
18,1584.195,21.732,-18.385,1.15E-10,2.62E-11,-2.62E-11
19,1634.808,26.279,-28.881,8.42E-11,1.92E-11,-1.92E-11
20,1679.618,19.075,-18.531,1.30E-10,2.88E-11,-2.88E-11
21,4960.286,22.086,-38.089,3.41E-11,7.69E-12,-7.69E-12
22,5013.778,46.321,-31.406,2.62E-11,5.89E-12,-5.89E-12
23,5099.926,30.378,-39.827,2.69E-11,6.06E-12,-6.06E-12
24,5177.256,40.803,-46.953,2.06E-11,4.63E-12,-4.63E-12
25,5260.887,42.422,-42.827,2.14E-11,4.83E-12,-4.83E-12
26,5354.785,33.772,-51.477,2.27E-11,4.97E-12,-4.97E-12
27,5414.745,21.451,-26.188,3.93E-11,8.80E-12,-8.80E-12
28,5474.524,36.891,-38.328,2.43E-11,5.45E-12,-5.45E-12
29,5581.685,50.081,-70.27,1.64E-11,3.60E-12,-3.60E-12
30,5664.026,32.93,-32.26,3.27E-11,7.17E-12,-7.17E-12
31,5754.547,42.702,-57.59,2.97E-11,6.66E-12,-6.66E-12
32,5876.116,49.006,-78.867,2.24E-11,5.02E-12,-5.02E-12
33,5980.183,60.274,-55.062,1.64E-11,3.71E-12,-3.71E-12
34,6083.149,42.557,-42.691,2.20E-11,4.94E-12,-4.94E-12
35,6155.697,30.184,-29.991,3.24E-11,7.08E-12,-7.08E-12
36,6235.823,57.873,-49.941,1.71E-11,3.85E-12,-3.85E-12
37,6365.241,68.863,-71.546,1.30E-11,2.94E-12,-2.94E-12
38,6488.965,37.91,-54.861,1.97E-11,4.41E-12,-4.41E-12
39,6600.086,64.691,-73.211,1.32E-11,2.96E-12,-2.96E-12
40,6733.06,42.038,-68.283,1.73E-11,3.79E-12,-3.79E-12
41,6832.966,49.947,-57.867,1.67E-11,3.78E-12,-3.78E-12
42,6949.912,45.83,-66.999,1.61E-11,3.63E-12,-3.63E-12
43,7043.071,50.455,-47.33,1.84E-11,4.17E-12,-4.17E-12
44,7124.956,53.819,-31.429,2.12E-11,4.77E-12,-4.77E-12
45,7226.977,47.076,-48.202,1.92E-11,4.33E-12,-4.33E-12
46,7362.742,84.31,-88.689,1.52E-11,2.84E-12,-2.84E-12
47,10907.613,83.642,-142.016,5.70E-12,1.51E-12,-1.51E-12
48,11103.136,103.749,-111.88,6.11E-12,1.59E-12,-1.59E-12
49,11352.664,109.966,-145.779,5.20E-12,1.36E-12,-1.36E-12
50,11570.042,110.724,-107.412,8.20E-12,1.85E-12,-1.85E-12
51,11749.625,106.653,-68.858,1.02E-11,2.29E-12,-2.29E-12
52,11988.454,163.686,-132.177,4.45E-12,1.16E-12,-1.16E-12
53,12256.515,116.268,-104.375,7.81E-12,1.77E-12,-1.77E-12
54,12534.36,81.632,-161.577,5.55E-12,1.42E-12,-1.42E-12
55,12714.092,104.993,-98.099,6.63E-12,1.69E-12,-1.69E-12
56,13012.77,172.371,-193.686,4.60E-12,1.06E-12,-1.06E-12
57,16686.23,262.751,-213.639,2.84E-12,7.45E-13,-7.45E-13
58,17283.596,287.198,-334.615,2.16E-12,5.69E-13,-5.69E-13
59,17860.97,258.926,-290.175,2.47E-12,6.48E-13,-6.48E-13
60,18439.168,483.055,-319.273,2.72E-12,5.62E-13,-5.62E-13
61,22687.595,482.007,-561.036,1.48E-12,3.90E-13,-3.90E-13
62,23920.247,763.758,-750.646,1.69E-12,3.46E-13,-3.46E-13
63,38224.975,3092.1423,-997.1772,5.26E-13,7.81E-14,-7.81E-14
64,142388.882,31664.198,-32245.722,2.62E-13,5.50E-14,-5.50E-14
