time_sec,timePos_sec,timeNeg_sec,flux,flux_errPos,flux_errNeg
87.922,1.957,-2.162,5.77036769916536e-10,1.1430159895712e-10,-1.14300917672618e-10
93.722,3.502,-3.842,2.94472245521826e-10,6.62429415496325e-11,-6.62426161332394e-11
101.665,4.067,-4.441,2.87548991307083e-10,5.4668781775316e-11,-5.46683808159521e-11
109.26,2.924,-3.529,3.79753177320915e-10,7.21989279776745e-11,-7.21983304997657e-11
114.884,1.878,-2.699,5.35362800955909e-10,1.01783606671298e-10,-1.01782774913142e-10
121.069,3.758,-4.307,3.04071698453871e-10,5.78104706542752e-11,-5.78099565882814e-11
128.334,4.128,-3.508,3.11906267910153e-10,6.17843151465278e-11,-6.17837783177891e-11
135.609,2.727,-3.146,3.69133421210917e-10,8.30389375931996e-11,-8.3038408325429e-11
162.055,9.036,-16.037,3.03294335374251e-10,6.27189400538208e-11,-6.27189400538208e-11
186.327,9.837,-15.236,2.64675274817147e-10,5.87972402958834e-11,-5.87972402958834e-11
203.025,8.183,-6.861,4.2576553892694e-10,9.54998718859443e-11,-9.54998718859443e-11
222.361,16.427,-11.153,2.31978987278865e-10,5.27707996385924e-11,-5.27707996385924e-11
248.239,10.608,-9.451,3.41203692710466e-10,7.71314790880121e-11,-7.71314790880121e-11
266.578,9.82,-7.731,4.02353860106004e-10,9.06710542314251e-11,-9.06710542314251e-11
290.595,10.876,-14.197,2.99140802258296e-10,6.60571618502444e-11,-6.60571618502444e-11
314.274,12.271,-12.802,3.18185399816972e-10,6.87077653647139e-11,-6.87077653647139e-11
336.404,7.692,-9.859,4.13931285689484e-10,9.31346972575904e-11,-9.31346972575904e-11
365.373,18.839,-21.278,2.07068867191902e-10,4.29887889023717e-11,-4.29887889023717e-11
393.535,10.736,-9.322,3.3777062565446e-10,7.4810733513049e-11,-7.4810733513049e-11
416.337,10.5,-12.065,3.30996148582391e-10,6.78268888910993e-11,-6.78268888910993e-11
442.832,11.586,-15.995,2.50349494903536e-10,5.65932444834173e-11,-5.65932444834173e-11
467.715,11.776,-13.297,3.48504532909566e-10,7.37605919494591e-11,-7.37605919494591e-11
493.087,13.984,-13.597,3.00920647469694e-10,6.49796785277007e-11,-6.49796785277007e-11
522.935,14.224,-15.864,2.53966330928292e-10,5.59147358078434e-11,-5.59147358078434e-11
545.044,7.159,-7.885,4.97324588172686e-10,1.11898260272833e-10,-1.11898260272833e-10
562.614,9.647,-10.411,4.49856922686231e-10,9.26636517296903e-11,-9.26636517296903e-11
587.846,14.503,-15.584,2.59563265619056e-10,5.83109995504412e-11,-5.83109995504412e-11
