,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,1694.102,54.997,-60.34,3.85792086413145e-11,8.66051639943175e-12,-8.66051639943175e-12
1,1819.458,42.47,-70.36,3.90521845268886e-11,8.88905774435333e-12,-8.88905774435333e-12
2,1933.381,48.898,-71.453,3.61096389524537e-11,8.21927376757534e-12,-8.21927376757534e-12
3,2037.025,58.084,-54.746,3.66275416296766e-11,8.27119433815473e-12,-8.27119433815473e-12
4,2185.735,74.857,-90.626,2.29364374855135e-11,5.25219456886419e-12,-5.25219456886419e-12
5,2368.673,87.477,-108.081,2.49723850507602e-11,4.99534165123402e-12,-4.99534165123402e-12
6,5970.104,29.363,-30.813,2.0042079624047e-11,4.50055439520805e-12,-4.50055439520805e-12
7,6024.129,43.035,-24.663,3.07955774254073e-11,6.91476836012572e-12,-6.91476836012572e-12
8,6091.972,20.324,-24.808,4.36601264929252e-11,9.77620991668721e-12,-9.77620991668721e-12
9,6155.998,46.561,-43.702,2.40590252401305e-11,5.03480196372889e-12,-5.03480196372889e-12
10,6250.521,39.794,-47.962,2.29461697203354e-11,5.17381386823105e-12,-5.17381386823105e-12
11,6329.527,28.487,-39.211,1.78221995437524e-11,4.01341693273623e-12,-4.01341693273623e-12
12,6400.781,37.466,-42.768,1.52299724879285e-11,3.332389007842e-12,-3.332389007842e-12
13,6471.946,31.492,-33.698,2.01072894442713e-11,4.39945925700463e-12,-4.39945925700463e-12
14,6535.129,33.499,-31.691,2.89759287063832e-11,6.50618699536797e-12,-6.50618699536797e-12
15,6613.453,47.946,-44.825,1.94668278900732e-11,4.36497887372934e-12,-4.36497887372934e-12
16,6692.963,41.148,-31.564,2.38951872742166e-11,5.35793481684011e-12,-5.35793481684011e-12
17,6791.839,47.579,-57.728,1.64191493584474e-11,3.68671731290631e-12,-3.68671731290631e-12
18,6875.97,51.205,-36.551,1.96067732068785e-11,4.40246033747703e-12,-4.40246033747703e-12
19,6984.765,45.21,-57.59,1.6798027247797e-11,3.77703058780104e-12,-3.77703058780104e-12
20,7062.413,37.767,-32.438,2.70665554605421e-11,6.09437178061142e-12,-6.09437178061142e-12
21,7149.634,30.779,-49.455,2.86279888217319e-11,6.2802009421378e-12,-6.2802009421378e-12
22,7209.602,30.987,-29.189,3.15171285051463e-11,7.06715969096468e-12,-7.06715969096468e-12
23,7263.011,32.74,-22.421,2.34764484780921e-11,5.27922445853522e-12,-5.27922445853522e-12
24,7324.065,29.354,-28.315,2.15992771902083e-11,4.86398506927619e-12,-4.86398506927619e-12
25,7379.105,21.953,-25.686,2.43986325847308e-11,5.45569940100965e-12,-5.45569940100965e-12
26,7433.447,27.786,-32.389,1.85192028239041e-11,4.0684970568772e-12,-4.0684970568772e-12
27,7490.053,23.834,-28.82,2.11855505945617e-11,4.76406314927667e-12,-4.76406314927667e-12
28,7555.975,35.639,-42.087,1.53952192479423e-11,3.45219667570885e-12,-3.45219667570885e-12
29,7663.235,53.746,-71.621,1.77448532807433e-11,4.01222092218822e-12,-4.01222092218822e-12
30,7754.626,30.052,-37.645,3.48206319457218e-11,7.62860147659264e-12,-7.62860147659264e-12
31,7818.372,51.555,-33.694,2.3310238747693e-11,5.21954090813134e-12,-5.21954090813134e-12
32,7912.136,43.04,-42.209,1.53471696417216e-11,3.44628739034611e-12,-3.44628739034611e-12
33,7980.174,30.163,-24.998,3.05509009579047e-11,6.69351262334447e-12,-6.69351262334447e-12
34,8080.097,112.456,-69.759,2.60666659094436e-11,4.56438177113335e-12,-4.56438177113335e-12
35,19444.567,33.608,-31.582,2.10959168245714e-11,4.72919832013119e-12,-4.72919832013119e-12
36,19571.188,90.02,-93.013,1.23580629452056e-11,2.5441074472199e-12,-2.5441074472199e-12
37,24146.373,54.685,-50.623,1.45025842266737e-11,3.24718612497203e-12,-3.24718612497203e-12
38,24256.827,42.016,-55.769,1.59498700398341e-11,3.57599089447629e-12,-3.57599089447629e-12
39,24358.492,63.209,-59.649,1.27392912513391e-11,2.87530022449234e-12,-2.87530022449234e-12
40,24480.324,111.875,-58.623,9.1820806368175e-12,2.07242589833204e-12,-2.07242589833204e-12
41,24660.224,87.428,-68.025,1.07470961264573e-11,2.41594776804337e-12,-2.41594776804337e-12
42,24815.369,70.186,-67.716,1.33611099447036e-11,2.93417483660588e-12,-2.93417483660588e-12
43,24946.321,79.643,-60.766,1.28916610229633e-11,2.90968991475459e-12,-2.90968991475459e-12
44,25094.14,54.683,-68.175,1.52497711832466e-11,3.42358239692584e-12,-3.42358239692584e-12
45,25266.05,125.161,-117.226,8.59393157512888e-12,1.94750253274751e-12,-1.94750253274751e-12
46,29522.726,52.134,-70.724,9.46280853253264e-12,2.07728189312719e-12,-2.07728189312719e-12
47,29613.714,43.888,-38.854,1.39678793409645e-11,3.05166406213869e-12,-3.05166406213869e-12
48,29723.029,69.965,-65.428,9.31040406394515e-12,1.94768564499025e-12,-1.94768564499025e-12
49,30667.751,54.794,-75.586,9.94577753507002e-12,2.25168351847308e-12,-2.25168351847308e-12
50,30832.089,70.984,-109.544,7.270619969777e-12,1.6317918151117e-12,-1.6317918151117e-12
51,31002.809,132.702,-99.737,6.75783177279961e-12,1.48338354927182e-12,-1.48338354927182e-12
