,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,100.211,0.318,-0.264,8.40808820665736e-09,1.06810455779666e-09,-1.09869392817718e-09
1,100.775,0.325,-0.246,8.40378652589817e-09,1.09338293603707e-09,-1.12148964894943e-09
2,101.401,0.313,-0.301,7.89712438796249e-09,1.01287648303063e-09,-1.03808936969961e-09
3,101.975,0.292,-0.261,8.9315982658935e-09,1.11284679354663e-09,-1.1377090809488e-09
4,102.519,0.285,-0.252,8.91534105142631e-09,1.15295230514025e-09,-1.17484311568722e-09
5,103.061,0.286,-0.256,9.00261225891675e-09,1.13320620704529e-09,-1.15433595569644e-09
6,103.686,0.285,-0.339,7.74079833498999e-09,9.87375188262662e-10,-1.00566392967755e-09
7,104.294,0.32,-0.323,7.64333061887791e-09,9.63135355197138e-10,-9.82356439822746e-10
8,104.977,0.3,-0.363,7.62175551034926e-09,9.44678062244227e-10,-9.59533359643442e-10
9,105.557,0.298,-0.28,8.69477109620974e-09,1.10545609103225e-09,-1.12124445828457e-09
10,106.171,0.337,-0.316,7.69142420108002e-09,9.5751632764579e-10,-9.70943065901125e-10
11,106.85,0.34,-0.341,6.96999867477057e-09,8.61930807929246e-10,-8.72828567608463e-10
12,107.514,0.327,-0.325,7.25166125916961e-09,8.97001558611933e-10,-9.08671816585262e-10
13,108.151,0.274,-0.31,7.99449583052235e-09,1.00219356474044e-09,-1.01542562507401e-09
14,108.789,0.34,-0.364,6.60051235685939e-09,8.27701057281323e-10,-8.38981779695731e-10
15,109.444,0.306,-0.315,7.45944139939325e-09,9.34897283993371e-10,-9.46934448306134e-10
16,110.091,0.285,-0.341,7.52983980237124e-09,9.42779604895934e-10,-9.53629314662618e-10
17,110.644,0.245,-0.267,9.62193645893528e-09,1.2041611131491e-09,-1.21724813924084e-09
18,111.173,0.342,-0.284,7.7810729868667e-09,9.99306973393269e-10,-1.00903986268373e-09
19,111.816,0.34,-0.301,7.43978547480081e-09,9.17558532734582e-10,-9.25801693091769e-10
20,112.42,0.293,-0.264,5.8602156423942e-09,8.83633941442962e-10,-8.89004094804213e-10
21,113.044,0.305,-0.332,7.33508606800817e-09,9.16356517467012e-10,-9.24133927374847e-10
22,113.643,0.238,-0.294,5.93479414417356e-09,8.89868776725075e-10,-8.94615385060642e-10
23,114.158,0.247,-0.276,6.00092317413987e-09,8.9998303801168e-10,-9.05045621083209e-10
24,114.734,0.404,-0.329,6.29581734075514e-09,7.85928597801772e-10,-7.9181801472869e-10
25,115.42,0.291,-0.282,5.46500009389976e-09,8.19344308846239e-10,-8.23605971518296e-10
26,116.036,0.356,-0.326,6.63781983242249e-09,8.50759251310525e-10,-8.56744245220559e-10
27,116.736,0.385,-0.345,6.39712654854236e-09,7.87696246315201e-10,-7.93119356705747e-10
28,117.375,0.287,-0.254,5.76708758728165e-09,8.63932489889682e-10,-8.67537245362649e-10
29,117.919,0.264,-0.257,5.98080971743504e-09,8.95697197622846e-10,-8.99130856489086e-10
30,118.541,0.252,-0.358,5.03031830126347e-09,7.68259805301684e-10,-7.71034635536194e-10
31,119.061,0.273,-0.268,5.58993578833367e-09,8.70919643252642e-10,-8.74035928001558e-10
32,119.619,0.324,-0.285,7.4873999506211e-09,9.45491768916101e-10,-9.50441943347347e-10
33,120.27,0.288,-0.327,5.00827734759585e-09,7.65088712932808e-10,-7.68086153604798e-10
34,120.902,0.325,-0.344,6.91890655893912e-09,8.67284407601999e-10,-8.7223322028755e-10
35,121.519,0.341,-0.292,7.0953345468499e-09,9.08136638383961e-10,-9.12953602059277e-10
36,122.135,0.333,-0.274,5.08707053819644e-09,7.77277071949692e-10,-7.80507280338015e-10
37,122.778,0.253,-0.311,5.54949310408189e-09,8.47852373206251e-10,-8.5127803439611e-10
38,123.424,0.358,-0.393,6.33982524981761e-09,7.80235298662781e-10,-7.85103940811968e-10
39,124.128,0.345,-0.346,6.08399671171619e-09,8.02510289282405e-10,-8.07124732685754e-10
40,124.832,0.334,-0.36,6.8086149036901e-09,8.38228677310624e-10,-8.43829758506461e-10
41,125.471,0.257,-0.305,5.53916565861652e-09,8.46671207042406e-10,-8.50588983126977e-10
42,126.052,0.317,-0.323,7.2449789101052e-09,9.04001353037714e-10,-9.1024310422273e-10
43,126.739,0.384,-0.37,6.19978836640401e-09,7.67065822092219e-10,-7.71518204498885e-10
44,127.342,0.306,-0.219,5.95226427295133e-09,8.91392115847545e-10,-8.94774708922572e-10
45,128.007,0.313,-0.359,6.88520115502566e-09,8.58166086082728e-10,-8.62933314127372e-10
46,128.608,0.283,-0.288,5.50374039536676e-09,8.24191934250797e-10,-8.2728410536012e-10
47,129.205,0.293,-0.314,5.17112731502029e-09,7.74815188095633e-10,-7.78246243836355e-10
48,129.768,0.248,-0.27,6.03975134534753e-09,9.04845728202318e-10,-9.08702994635404e-10
49,130.315,0.338,-0.299,4.67068885042074e-09,7.42576007641346e-10,-7.45310409703481e-10
50,130.946,0.229,-0.293,5.92226222874451e-09,9.04764873419724e-10,-9.08371517036688e-10
51,131.507,0.315,-0.333,4.94224832883759e-09,7.40248255495038e-10,-7.43191297939951e-10
52,132.041,0.334,-0.219,5.86988330009269e-09,8.79076450079733e-10,-8.8243625171928e-10
53,132.671,0.29,-0.295,5.46375914710795e-09,8.18490671765442e-10,-8.2190359971991e-10
54,133.266,0.312,-0.306,5.10570673556506e-09,7.64736483599729e-10,-7.67786134199101e-10
55,133.901,0.289,-0.323,7.6062919339153e-09,9.3597368751006e-10,-9.41664427664911e-10
56,134.549,0.382,-0.359,6.26115509515481e-09,7.70421637942218e-10,-7.75069835843798e-10
57,135.308,0.432,-0.378,5.95609372883609e-09,7.32796793459821e-10,-7.37114215122768e-10
58,136.067,0.328,-0.327,7.64841321479912e-09,9.41878077223267e-10,-9.48498724865512e-10
59,136.715,0.315,-0.321,4.96262076970286e-09,7.73563279142327e-10,-7.76797707585641e-10
60,137.31,0.271,-0.28,6.08530549643032e-09,8.83089516596207e-10,-8.87197977292692e-10
61,137.893,0.336,-0.312,7.10129197034583e-09,8.85569862559556e-10,-8.91056797837817e-10
62,138.527,0.278,-0.299,5.42481935963225e-09,8.12914274422403e-10,-8.16622186555509e-10
63,139.12,0.409,-0.315,4.32850561370031e-09,6.48947913954233e-10,-6.52314324888944e-10
64,139.868,0.337,-0.339,4.69443509890374e-09,7.03963228147407e-10,-7.07817128345736e-10
65,140.462,0.282,-0.257,5.98995091228256e-09,9.05496744799473e-10,-9.10057375726755e-10
66,141.092,0.314,-0.348,4.83895124647137e-09,7.2528698338442e-10,-7.28806223791159e-10
67,141.67,0.312,-0.264,5.54307437736572e-09,8.31139699422983e-10,-8.35583363191552e-10
68,142.256,0.255,-0.274,5.92229428307423e-09,9.06239560229626e-10,-9.11764297111007e-10
69,142.873,0.322,-0.362,4.59466900502499e-09,6.89432631053194e-10,-6.93783989093386e-10
70,143.47,0.318,-0.274,5.73857367410841e-09,8.46642662554825e-10,-8.51838206623159e-10
71,144.079,0.332,-0.291,5.00783221551294e-09,7.66053733351364e-10,-7.70381999207768e-10
72,144.761,0.369,-0.35,4.43019732934949e-09,6.64947540523991e-10,-6.69407825325948e-10
73,145.406,0.279,-0.276,5.67472374762903e-09,8.69216571376564e-10,-8.75699144688114e-10
74,145.97,0.27,-0.285,5.69496360835996e-09,8.72171897738493e-10,-8.78475746329041e-10
75,146.56,0.317,-0.32,7.45615706900779e-09,9.20466628428324e-10,-9.29936073453427e-10
76,147.138,0.276,-0.261,5.8912747113279e-09,8.84204736473634e-10,-8.90076866931376e-10
77,147.705,0.277,-0.291,5.56618183918649e-09,8.35386056146204e-10,-8.40898226013528e-10
78,148.279,0.271,-0.297,5.42592030918184e-09,8.46948958563867e-10,-8.52030237168133e-10
