,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,100.533,0.285,-0.298,6.02004075582424e-09,7.57259788067321e-10,-7.57259788067321e-10
1,101.178,0.226,-0.359,6.10612640122562e-09,7.56922578966142e-10,-7.56922578966142e-10
2,101.705,0.246,-0.302,4.4618902979035e-09,6.79735227238274e-10,-6.79735227238274e-10
3,102.209,0.287,-0.257,6.82817782567182e-09,8.58915532387227e-10,-8.58915532387227e-10
4,102.761,0.308,-0.265,6.64463368284501e-09,8.23676509237967e-10,-8.23676509237967e-10
5,103.321,0.255,-0.252,8.75257671453766e-09,9.97451774546133e-10,-9.97451774546133e-10
6,103.813,0.293,-0.237,7.14028809105415e-09,8.72327189969689e-10,-8.72327710208879e-10
7,104.428,0.367,-0.321,5.22099931881198e-09,6.47201265513361e-10,-6.47201265513361e-10
8,105.056,0.267,-0.261,6.88618123558051e-09,8.4128257306541e-10,-8.41283073096361e-10
9,105.633,0.327,-0.309,5.86937204029506e-09,7.27573873956126e-10,-7.27573873956126e-10
10,106.216,0.298,-0.256,4.99225402105693e-09,7.20570826991443e-10,-7.20571356850206e-10
11,106.835,0.261,-0.322,6.64247602408643e-09,8.11509625460825e-10,-8.11509625460825e-10
12,107.449,0.258,-0.352,6.38577830996103e-09,7.80148651740917e-10,-7.80148651740917e-10
13,108.0,0.305,-0.293,6.57663103267565e-09,8.09055869974811e-10,-8.09056407965624e-10
14,108.638,0.279,-0.333,6.34785753748088e-09,7.86887795579305e-10,-7.86887795579305e-10
15,109.198,0.296,-0.281,6.78831021683075e-09,8.2932583517336e-10,-8.2932583517336e-10
16,109.731,0.309,-0.237,6.99230927109345e-09,8.54248480478284e-10,-8.54248480478284e-10
17,110.325,0.347,-0.285,5.84586135827148e-09,7.24659317020092e-10,-7.24659317020092e-10
18,111.003,0.314,-0.332,5.62425871101657e-09,6.97189608467672e-10,-6.97189608467672e-10
19,111.671,0.316,-0.354,5.73363130163209e-09,6.95306494150064e-10,-6.95307014857205e-10
20,112.295,0.269,-0.307,6.70468688131903e-09,8.1910936171202e-10,-8.19109892831438e-10
21,112.845,0.261,-0.281,6.75167763066188e-09,8.24850678260102e-10,-8.24850678260102e-10
22,113.394,0.378,-0.288,5.36161243998933e-09,6.55026510826819e-10,-6.55027014019862e-10
23,114.014,0.261,-0.242,4.67082480011984e-09,7.03454312788112e-10,-7.03454312788112e-10
24,114.523,0.257,-0.247,4.47801894974766e-09,7.12888553992317e-10,-7.12888553992317e-10
25,115.047,0.27,-0.268,5.2203136747108e-09,7.52821560759721e-10,-7.52822098594669e-10
26,115.612,0.233,-0.295,7.48559799426053e-09,9.27922711510136e-10,-9.27923275441595e-10
27,116.133,0.287,-0.288,4.51667597942908e-09,6.733073638915e-10,-6.733073638915e-10
28,116.722,0.324,-0.303,5.90478996402934e-09,7.21386564064007e-10,-7.21386564064007e-10
29,117.375,0.308,-0.329,5.46897181273315e-09,6.68142793287796e-10,-6.68142793287796e-10
30,117.95,0.25,-0.267,4.50457401605749e-09,6.86237544595404e-10,-6.86237544595404e-10
31,118.47,0.279,-0.269,4.83406105273538e-09,6.9773744319172e-10,-6.97737964713675e-10
32,119.013,0.24,-0.265,5.07797605268394e-09,7.56981010296009e-10,-7.56981010296009e-10
33,119.583,0.363,-0.329,5.6425636223355e-09,6.89350390090044e-10,-6.89350390090044e-10
34,120.198,0.297,-0.252,5.13709036009761e-09,7.4147617891588e-10,-7.4147617891588e-10
35,120.851,0.285,-0.356,6.11088500110231e-09,7.57511871839065e-10,-7.57511871839065e-10
36,121.453,0.291,-0.317,6.48205527904395e-09,7.86066074664626e-10,-7.86066622780844e-10
37,122.052,0.363,-0.307,5.06292438809344e-09,6.63617102724574e-10,-6.63617632564088e-10
38,122.661,0.275,-0.246,7.48542717406135e-09,8.9468152392916e-10,-8.94682050718747e-10
39,123.248,0.32,-0.312,6.20214758264133e-09,7.52122956922062e-10,-7.52122956922062e-10
40,123.886,0.351,-0.318,5.72684404416176e-09,6.99646558760982e-10,-6.99647099347521e-10
41,124.538,0.329,-0.301,5.07931537189849e-09,6.61271906386516e-10,-6.61271906386516e-10
42,125.112,0.315,-0.245,4.8539986771162e-09,6.79697011083089e-10,-6.79697011083089e-10
43,125.759,0.284,-0.332,5.87522444328949e-09,7.17774399701348e-10,-7.17774399701348e-10
44,126.312,0.257,-0.269,6.68478176582733e-09,8.40877442865012e-10,-8.40877950469592e-10
45,126.864,0.211,-0.295,4.63418963482871e-09,7.1304777355824e-10,-7.1304777355824e-10
46,127.417,0.19,-0.342,4.30142366710468e-09,6.55288731742171e-10,-6.55289220253592e-10
47,127.954,0.275,-0.348,5.50913370875855e-09,6.73049140726597e-10,-6.73049624802623e-10
48,128.512,0.238,-0.283,4.67574769350582e-09,6.74886945968899e-10,-6.74887426051008e-10
49,128.979,0.286,-0.228,4.40712726947026e-09,6.78110575490468e-10,-6.78110575490468e-10
50,129.523,0.298,-0.258,4.7545809612257e-09,6.59342933825814e-10,-6.59342933825814e-10
51,130.103,0.226,-0.281,4.66034224820153e-09,6.87130744978004e-10,-6.87131230648671e-10
52,130.585,0.248,-0.256,4.65900029493362e-09,6.94523959156117e-10,-6.94523959156117e-10
53,131.112,0.323,-0.28,3.87326283784024e-09,5.9006186043621e-10,-5.9006186043621e-10
54,131.728,0.237,-0.293,4.4109814029328e-09,6.71979378749263e-10,-6.71979378749263e-10
55,132.25,0.333,-0.284,5.72055046275349e-09,7.09125952191313e-10,-7.09125952191313e-10
56,132.84,0.245,-0.257,5.2570114574262e-09,7.66814816003194e-10,-7.6681534655523e-10
57,133.442,0.318,-0.358,5.75095051019589e-09,7.02591834833298e-10,-7.02592383470851e-10
