,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,210.046,19.418,-15.685,1.13823374322906e-10,2.56176118600747e-11,-2.56176118600747e-11
1,253.915,28.203,-24.451,7.87724188368726e-11,1.72962439825291e-11,-1.72962439825291e-11
2,314.027,33.281,-31.91,5.95890926685592e-11,1.33678208251455e-11,-1.33678208251455e-11
3,376.091,16.349,-28.783,8.92831140609808e-11,1.95737311144079e-11,-1.95737311144079e-11
4,415.179,22.393,-22.739,9.36466227581961e-11,1.99949612432932e-11,-1.99949612432932e-11
5,470.573,24.666,-33.002,6.61601930143175e-11,1.4963457695671e-11,-1.4963457695671e-11
6,520.398,32.51,-25.158,6.59312415284051e-11,1.48630035161353e-11,-1.48630035161353e-11
7,576.056,26.998,-23.148,7.66513972275546e-11,1.71954680261858e-11,-1.71954680261858e-11
8,623.871,19.301,-20.816,9.53071959399926e-11,2.1380583744344e-11,-2.1380583744344e-11
9,685.38,40.533,-42.209,4.58448659610147e-11,1.03180535398899e-11,-1.03180535398899e-11
10,748.265,20.272,-22.352,9.06236657050608e-11,2.02969367185505e-11,-2.02969367185505e-11
11,786.897,24.264,-18.36,9.4835128242883e-11,2.12057776174184e-11,-2.12057776174184e-11
12,829.292,14.465,-18.131,1.32006020550406e-10,2.95653197841561e-11,-2.95653197841561e-11
13,864.611,21.77,-20.854,1.02734325064657e-10,2.30842431455638e-11,-2.30842431455638e-11
14,909.958,26.569,-23.577,8.66374538845976e-11,1.90824078887625e-11,-1.90824078887625e-11
15,962.631,19.028,-26.103,9.86346957311e-11,2.11222775808862e-11,-2.11222775808862e-11
16,1008.615,23.19,-26.956,8.39239096868156e-11,1.89191255253409e-11,-1.89191255253409e-11
17,1065.21,29.278,-33.405,6.83814128784545e-11,1.54153580838684e-11,-1.54153580838684e-11
18,1136.729,35.486,-42.241,5.38814689997478e-11,1.19420421433733e-11,-1.19420421433733e-11
19,1193.451,23.896,-21.236,8.56195027016344e-11,1.91761517838888e-11,-1.91761517838888e-11
20,1247.91,32.12,-30.563,6.00200236541196e-11,1.3574742639479e-11,-1.3574742639479e-11
21,1297.732,14.893,-17.702,1.2265158307911e-10,2.68475847386539e-11,-2.68475847386539e-11
22,1341.719,36.096,-29.095,5.80572453543678e-11,1.30879569222837e-11,-1.30879569222837e-11
23,1408.188,29.803,-30.373,6.58430624210521e-11,1.44797807021977e-11,-1.44797807021977e-11
24,1479.677,71.133,-41.687,3.68473585027376e-11,7.97323867563687e-12,-7.97323867563687e-12
25,4916.47,24.347,-35.829,2.33070500164357e-11,5.22381001407382e-12,-5.22381001407382e-12
26,4974.492,34.023,-33.675,2.04818523697316e-11,4.6230509678021e-12,-4.6230509678021e-12
27,5053.521,35.229,-45.006,1.79234777336437e-11,3.92869350470153e-12,-3.92869350470153e-12
28,5156.662,62.469,-67.912,3.52268865495806e-11,7.91125654509162e-12,-7.91125654509162e-12
29,5302.298,77.301,-83.167,3.29999137192277e-11,7.48440189962923e-12,-7.48440189962923e-12
30,5445.45,49.486,-65.851,5.16279584064439e-11,1.15946084708266e-11,-1.15946084708266e-11
31,5540.312,34.859,-45.376,2.52866925997109e-11,5.53030449875925e-12,-5.53030449875925e-12
32,5608.737,36.638,-33.567,2.22249048528997e-11,4.98710512212755e-12,-4.98710512212755e-12
33,5701.074,64.653,-55.698,1.91725393995326e-11,4.19291597179321e-12,-4.19291597179321e-12
34,5819.429,41.577,-53.701,2.71021348838854e-11,5.79022397578922e-12,-5.79022397578922e-12
35,5938.493,57.908,-77.487,1.72948472348101e-11,3.88946638617849e-12,-3.88946638617849e-12
36,6042.745,33.89,-46.344,2.30751629525689e-11,5.16566643148394e-12,-5.16566643148394e-12
37,6140.839,73.699,-64.203,1.56172867267285e-11,3.50016504123921e-12,-3.50016504123921e-12
38,6291.009,48.895,-76.471,2.37613825493191e-11,5.33124451977124e-12,-5.33124451977124e-12
39,6376.85,35.766,-36.946,1.96961189338092e-11,4.41449315901633e-12,-4.41449315901633e-12
40,6444.551,40.777,-31.935,1.94561640436324e-11,4.37093883321228e-12,-4.37093883321228e-12
41,6530.547,40.031,-45.218,1.64628222818948e-11,3.68550045415741e-12,-3.68550045415741e-12
42,6602.147,31.113,-31.57,2.20798843785994e-11,4.96037311224785e-12,-4.96037311224785e-12
43,6661.2,24.714,-27.94,2.60283186612563e-11,5.84056230197421e-12,-5.84056230197421e-12
44,6728.866,42.297,-42.952,1.6046183339685e-11,3.58803554556418e-12,-3.58803554556418e-12
45,6841.1,47.907,-69.937,1.22850003590331e-11,2.71094173742034e-12,-2.71094173742034e-12
46,6936.52,50.272,-47.513,1.48247117542447e-11,3.24584225790989e-12,-3.24584225790989e-12
47,7027.507,44.533,-40.716,1.663167305101e-11,3.64961426818943e-12,-3.64961426818943e-12
48,7120.996,36.294,-48.955,1.71354380040754e-11,3.66105822186037e-12,-3.66105822186037e-12
49,7235.738,66.969,-78.449,1.40331652287396e-11,2.53955586418251e-12,-2.53955586418251e-12
50,11069.508,77.327,-73.113,9.37436639374918e-12,2.11893271737542e-12,-2.11893271737542e-12
51,11202.36,59.812,-55.525,1.29906333358464e-11,2.84936458688338e-12,-2.84936458688338e-12
52,11309.89,62.604,-47.718,1.32413765950844e-11,2.97364007187467e-12,-2.97364007187467e-12
53,11447.241,63.156,-74.747,1.08548446025317e-11,2.45091187606473e-12,-2.45091187606473e-12
54,11565.261,55.459,-54.864,1.39009439936501e-11,3.12176040852902e-12,-3.12176040852902e-12
55,11712.556,66.126,-91.836,9.32700938372324e-12,2.11051993565023e-12,-2.11051993565023e-12
56,11853.089,60.988,-74.408,1.05813000064955e-11,2.38397664933594e-12,-2.38397664933594e-12
57,11974.573,59.855,-60.496,1.1810840770744e-11,2.64667011285091e-12,-2.64667011285091e-12
58,12085.549,49.172,-51.121,1.4032149078687e-11,3.15803862212545e-12,-3.15803862212545e-12
59,12195.093,59.979,-60.372,1.16455720855715e-11,2.60963642446624e-12,-2.60963642446624e-12
60,12325.333,70.15,-70.26,1.03003747803583e-11,2.31817495294785e-12,-2.31817495294785e-12
61,12463.599,77.308,-68.117,1.03834244075964e-11,2.334342425262e-12,-2.334342425262e-12
62,12593.9,52.314,-52.994,1.45144423706707e-11,3.27011834177734e-12,-3.27011834177734e-12
63,12710.6,58.473,-64.386,1.25747603689055e-11,2.82698615646364e-12,-2.82698615646364e-12
64,12883.479,173.917,-114.406,9.64501451255478e-12,1.62299909589967e-12,-1.62299909589967e-12
65,17144.094,103.359,-102.242,4.92739208779367e-12,1.28838365406811e-12,-1.28838365406811e-12
66,17304.661,55.622,-57.208,1.26172436253084e-11,2.78095232769605e-12,-2.78095232769605e-12
67,17416.78,56.332,-56.497,1.20629232121225e-11,2.71150250737859e-12,-2.71150250737859e-12
68,17567.565,71.03,-94.453,8.15963624573968e-12,1.83991303352381e-12,-1.83991303352381e-12
69,17743.566,75.557,-104.97,7.68841920965269e-12,1.74098771683178e-12,-1.74098771683178e-12
70,17928.084,89.117,-108.961,7.42113350851047e-12,1.66987431132256e-12,-1.66987431132256e-12
71,18106.302,61.339,-89.1,1.01348567004341e-11,2.27811248007415e-12,-2.27811248007415e-12
72,18275.781,64.864,-108.141,8.39328849619537e-12,1.87875830860718e-12,-1.87875830860718e-12
73,18427.744,90.921,-87.099,5.82037505888155e-12,1.52833592694743e-12,-1.52833592694743e-12
74,18659.647,149.852,-140.981,6.77904307202973e-12,1.27257770842968e-12,-1.27257770842968e-12
75,63378.346,1456.647,-1050.069,2.00208651585366e-12,4.79272726609557e-13,-4.79272726609557e-13
76,69607.202,981.087,-1517.924,1.01498810229254e-12,2.08261731054667e-13,-2.08261731054667e-13
77,74648.741,732.805,-433.101,9.11183193590551e-13,2.41579627180009e-13,-2.41579627180009e-13
78,75931.179,410.651,-549.634,1.17811195498031e-12,3.02086387358525e-13,-3.02086387358525e-13
79,80605.179,534.657,-468.273,1.04117511503236e-12,2.76056956054985e-13,-2.76056956054985e-13
80,81462.216,334.523,-322.38,1.82626966064887e-12,4.48320670896595e-13,-4.48320670896595e-13
81,87225.855,4472.801,-1736.125,6.64235603254921e-13,1.36669948025678e-13,-1.36669948025678e-13
82,159815.564,7569.219,-4416.632,5.08277724290182e-13,9.30533753274594e-14,-9.30533753274594e-14
83,319079.611,62059.176,-30422.455,2.71982391043509e-13,7.15287059896692e-14,-7.15287059896692e-14
84,393684.466,49072.325,-7123.358,1.30624716437008e-13,8.53675101545023e-14,-6.07333918196497e-14
