time_sec,timePos_sec,timeNeg_sec,flux,flux_errPos,flux_errNeg
192.258,19.215,-18.394,3.43855202957822e-10,7.7313850107154e-11,-7.7313850107154e-11
231.162,22.936,-19.689,2.88006691356835e-10,6.48463259854733e-11,-6.48463259854733e-11
270.344,26.379,-16.246,2.7491028168244e-10,6.17266103961231e-11,-6.17266103961231e-11
324.257,20.104,-27.535,2.42769502935392e-10,5.31158488943949e-11,-5.31158488943949e-11
365.009,19.47,-20.647,2.62684687650372e-10,5.92269970620228e-11,-5.92269970620228e-11
405.097,27.018,-20.618,3.01418286714277e-10,5.74709875691023e-11,-5.74709875691023e-11
10734.761,168.967,-287.364,4.94258458117942e-12,1.30298929096299e-12,-1.30298929096299e-12
11364.722,506.821,-460.994,3.15560966574391e-12,7.18160920247758e-13,-7.18160920247758e-13
