time_sec,timePos_sec,timeNeg_sec,flux,flux_errPos,flux_errNeg
74.4739375000364,0.435137538499674,-0.555826430937032,1.56508397312092e-08,1.97197004067619e-09,-1.89960437269767e-09
75.2909331340468,0.349364891664266,-0.381858095510736,2.16258828298043e-08,2.66671056130081e-09,-2.62342173374575e-09
75.9986587562419,0.314182318327809,-0.358360730530791,2.36795623422845e-08,2.94196496151082e-09,-2.87623657043063e-09
76.8376240345875,0.516055043140767,-0.524782960017831,1.55461278525621e-08,1.97930990478823e-09,-1.89340037484209e-09
77.7475826278961,0.374712410907023,-0.393903550167778,2.13582338374925e-08,2.67655443443277e-09,-2.59646094513661e-09
78.5231784875282,0.328560578221897,-0.400883448725097,2.27548098174623e-08,2.84737271778382e-09,-2.76290707094091e-09
79.4466655070413,0.581991571701678,-0.594926441291221,1.95089271075795e-08,2.1759009928946e-09,-2.02553746757207e-09
87.4724,0.3867,-0.3855,1.92443033750087e-08,2.4308292486862e-09,-2.38247775374589e-09
88.1653,0.3271,-0.3062,2.5224888806566e-08,3.22905071082428e-09,-3.08846038404691e-09
88.8240,0.3266,-0.3316,2.58819770171023e-08,3.37736215419291e-09,-3.19131103055452e-09
89.4665,0.2784,-0.3158,2.99095105679376e-08,3.80238036374241e-09,-3.70434593603956e-09
90.1010,0.2577,-0.3561,3.00235546840742e-08,3.96631624019612e-09,-3.82180615699531e-09
90.6629,0.2865,-0.3042,3.27785167730165e-08,4.38382589483295e-09,-4.17662188804633e-09
91.1789,0.2811,-0.2295,4.45904024032756e-08,5.58983824248036e-09,-5.16806267374034e-09
91.8220,0.3176,-0.362,2.81441996024191e-08,3.73845134519369e-09,-3.49950899612852e-09
92.4409,0.2627,-0.3013,3.31592233592027e-08,4.18417321111774e-09,-4.05635575025549e-09
92.9550,0.2717,-0.2514,3.41311564249868e-08,4.36324462279467e-09,-4.28102654018522e-09
93.5306,0.2991,-0.304,2.91004075728499e-08,3.78430399359818e-09,-3.64570139778678e-09
94.2121,0.3934,-0.3824,2.02426691094015e-08,2.64439753535497e-09,-2.57402733127346e-09
94.9514,0.3675,-0.346,2.03754762187873e-08,2.65371778960224e-09,-2.55928919710754e-09
95.6227,0.2709,-0.3038,2.38503228497478e-08,3.0987810927786e-09,-2.92478442917974e-09
96.1791,0.2571,-0.2855,2.42454526167192e-08,3.10798233449211e-09,-3.01945102123517e-09
96.7160,0.2237,-0.2798,3.26331246998097e-08,3.65625609476118e-09,-3.57055957112677e-09
97.1968,0.2446,-0.2571,3.8200948159371e-08,4.22677530436104e-09,-4.16167734008459e-09
97.6893,0.2538,-0.2479,3.97225468215625e-08,4.49029349254593e-09,-4.44299989520842e-09
98.1914,0.2748,-0.2483,3.60817533055537e-08,4.17389522573139e-09,-4.12619992832118e-09
98.7192,0.2701,-0.253,3.23901607164041e-08,4.03834884933904e-09,-4.00777460244128e-09
99.2805,0.3155,-0.2912,3.02576478479208e-08,3.8360623193464e-09,-3.79292151354069e-09
99.8782,0.2515,-0.2823,3.49449351677571e-08,4.38874026530649e-09,-4.32456287856727e-09
100.4348,0.3923,-0.3052,2.50672210298424e-08,3.31227470807357e-09,-3.15511291793337e-09
101.1974,0.3289,-0.3703,2.28898493562892e-08,2.98147484979051e-09,-2.8688228538826e-09
101.7724,0.2591,-0.2461,3.05507333389417e-08,4.13311136550779e-09,-3.87496742710447e-09
102.2672,0.2696,-0.2356,3.45269667740215e-08,4.275445272492e-09,-4.16241111236385e-09
102.8239,0.2716,-0.287,2.7972443970028e-08,3.49188311174596e-09,-3.46150476911568e-09
103.3540,0.2503,-0.2585,3.22698575488679e-08,3.9290089454874e-09,-3.9037258429055e-09
103.8576,0.2502,-0.2532,3.73774140395691e-08,4.36483718884944e-09,-4.28860167760433e-09
104.3616,0.2728,-0.2538,3.09323349982623e-08,3.94630043119081e-09,-3.78186493797521e-09
104.9146,0.2269,-0.2802,3.58877654535546e-08,4.57230577393433e-09,-4.24842477896296e-09
105.3738,0.2712,-0.2324,3.24598837447412e-08,4.3143924062576e-09,-4.27837185998464e-09
105.9248,0.2967,-0.2798,2.99340919521401e-08,3.74697321007416e-09,-3.70535937362595e-09
106.4826,0.2779,-0.2612,3.20660313659828e-08,4.0979949590116e-09,-4.03982940870327e-09
107.0282,0.2358,-0.2677,3.4290405220695e-08,4.39934061565254e-09,-4.35188624958528e-09
107.5220,0.2882,-0.258,3.4004450948886e-08,4.20912646276999e-09,-4.15765997335961e-09
