,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,665.866,272.1515,-54.4084,1.65E-11,4.14E-12,-4.14E-12
1,3433.174,41.964,-45.792,1.30E-11,2.91E-12,-2.91E-12
2,3510.278,37.572,-35.14,1.55E-11,3.49E-12,-3.49E-12
3,3575.509,32.517,-27.659,1.87E-11,4.23E-12,-4.23E-12
4,3640.278,22.909,-32.252,2.26E-11,4.94E-12,-4.94E-12
5,3693.487,27.367,-30.301,2.15E-11,4.84E-12,-4.84E-12
6,3768.775,39.836,-47.92,1.43E-11,3.21E-12,-3.21E-12
7,3843.397,40.433,-34.787,1.59E-11,3.58E-12,-3.58E-12
8,3920.004,39.046,-36.173,1.55E-11,3.50E-12,-3.50E-12
9,3989.742,34.498,-30.692,1.91E-11,4.20E-12,-4.20E-12
10,4056.053,23.347,-31.814,2.85E-11,6.40E-12,-6.40E-12
11,4145.559,21.598,-66.158,1.89E-11,4.27E-12,-4.27E-12
12,4202.677,44.714,-35.52,1.43E-11,3.24E-12,-3.24E-12
13,4284.197,33.399,-36.806,2.15E-11,4.86E-12,-4.86E-12
14,4369.448,93.572,-51.852,1.35E-11,3.05E-12,-3.05E-12
15,4545.417,52.998,-82.397,1.55E-11,3.46E-12,-3.46E-12
16,4645.231,48.462,-46.816,1.38E-11,3.14E-12,-3.14E-12
17,4752.911,38.567,-59.218,1.15E-11,2.64E-12,-2.64E-12
18,4825.409,28.752,-33.931,1.90E-11,4.21E-12,-4.21E-12
19,4903.526,40.898,-49.365,1.37E-11,3.00E-12,-3.00E-12
20,4996.963,52.769,-52.539,1.82E-11,4.20E-12,-4.20E-12
21,5109.479,55.589,-59.748,1.68E-11,3.83E-12,-3.83E-12
22,5214.46,65.943,-49.393,1.11E-11,2.56E-12,-2.56E-12
23,5339.002,48.555,-58.598,1.49E-11,3.37E-12,-3.37E-12
24,5444.711,70.092,-57.155,1.13E-11,2.58E-12,-2.58E-12
25,5569.59,40.49,-54.787,1.37E-11,3.02E-12,-3.02E-12
26,5668.78,49.115,-58.7,1.92E-11,4.34E-12,-4.34E-12
27,5783.181,39.203,-65.287,1.78E-11,3.91E-12,-3.91E-12
28,5851.822,23.216,-29.437,2.72E-11,5.56E-12,-5.56E-12
29,27542.885,141.464,-146.877,9.89E-12,2.24E-12,-2.24E-12
30,27958.015,150.071,-273.665,6.64E-12,1.53E-12,-1.53E-12
31,28505.03,322.647,-396.944,7.14E-12,1.21E-12,-1.21E-12
32,33492.913,79.181,-93.824,4.90E-12,1.29E-12,-1.29E-12
33,33664.582,75.502,-92.488,6.85E-12,1.54E-12,-1.54E-12
34,33818.089,49.868,-78.005,9.31E-12,2.05E-12,-2.05E-12
35,33937.014,56.309,-69.057,8.96E-12,2.03E-12,-2.03E-12
36,34097.327,101.596,-104.004,5.48E-12,1.24E-12,-1.24E-12
37,34265.092,64.211,-66.169,8.64E-12,1.95E-12,-1.95E-12
38,34458.922,103.554,-129.62,6.50E-12,1.26E-12,-1.26E-12
39,38892.11,856.026,-1152.163,6.33E-12,1.10E-12,-1.10E-12
40,79069.977,155.938,-147.447,3.14E-12,8.18E-13,-8.18E-13
41,79466.225,271.183,-240.309,1.81E-12,4.76E-13,-4.76E-13
42,79955.423,268.396,-218.015,2.81E-12,6.05E-13,-6.05E-13
43,84171.734,635.574,-552.886,1.34E-12,2.70E-13,-2.70E-13
44,108039.628,1109.327,-713.48,9.63E-13,1.91E-13,-1.91E-13
45,113645.174,5895.356,-567.029,1.23E-12,2.61E-13,-2.61E-13
46,160268.178,4112.075,-2047.862,5.46E-13,1.50E-13,-1.50E-13
47,165369.948,4766.626,-989.695,6.10E-13,1.46E-13,-1.46E-13
48,414860.056,49483.43,-134086.7,1.95E-13,4.60E-14,-4.60E-14
