,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,456.041,42.635,-57.658,1.78920237604988e-11,4.0508739072542e-12,-4.0508739072542e-12
1,552.118,59.387,-53.442,1.60858554378647e-11,3.6289640025376e-12,-3.6289640025376e-12
2,689.079,97.934,-77.574,1.45797868012714e-11,2.77281767357374e-12,-2.77281767357374e-12
3,4259.153,112.988,-115.178,3.93490742952369e-12,1.02691735431996e-12,-1.02691735431996e-12
4,4444.694,130.539,-72.554,4.44024843624823e-12,1.15383516147209e-12,-1.15383516147209e-12
5,4663.796,114.53,-88.563,4.42470605207525e-12,1.14979609447716e-12,-1.14979609447716e-12
6,4901.258,125.291,-122.933,3.57706414943353e-12,9.37562101587771e-13,-9.37562101587771e-13
7,5152.345,142.488,-125.795,3.31436563179627e-12,8.64041174275155e-13,-8.64041174275155e-13
8,5446.968,121.162,-152.135,3.22307937568032e-12,8.44781533570971e-13,-8.44781533570971e-13
9,5830.286,204.206,-262.156,1.8737644803606e-12,4.92184073770478e-13,-4.92184073770478e-13
10,6296.274,272.261,-261.782,2.17411547243733e-12,4.92833954543853e-13,-4.92833954543853e-13
11,10342.642,186.679,-367.437,1.58084598444716e-12,4.14906645146121e-13,-4.14906645146121e-13
12,11042.551,289.112,-513.229,1.079559360295e-12,2.85411150884424e-13,-2.85411150884424e-13
13,11889.188,460.433,-557.525,1.42062207070566e-12,2.88165244202967e-13,-2.88165244202967e-13
14,16031.008,358.781,-363.326,1.12495290014231e-12,2.97842720798124e-13,-2.97842720798124e-13
15,16857.102,350.073,-467.313,9.92175150435898e-13,2.61927799537613e-13,-2.61927799537613e-13
16,17679.282,453.077,-472.106,9.32564638625808e-13,2.38039557851974e-13,-2.38039557851974e-13
17,22941.65,4859.254,-1251.498,3.61426341401418e-13,9.730122327067e-14,-9.730122327067e-14
18,28594.299,1102.137,-793.395,5.06527813124245e-13,1.24711338504584e-13,-1.24711338504584e-13
19,36396.837,4398.434,-2648.544,3.82664668230431e-13,9.35320069277439e-14,-9.35320069277439e-14
20,50654.114,7952.932,-4758.128,3.10225039746941e-13,7.07900171483582e-14,-7.07900171483582e-14
21,89703.319,3597.921,-4633.567,1.89603324524461e-13,4.85669652183519e-14,-4.85669652183519e-14
22,201270.918,53318.53,-46137.294,7.55423000264671e-14,2.07766938470744e-14,-2.07766938470744e-14
23,368488.393,163182.118,-108106.407,3.1913652965855e-14,9.60939920779157e-15,-9.60939920779157e-15
24,649769.9,165100.097,-112479.616,1.39165891544383e-14,6.52155832555345e-15,-5.27031601878598e-15
