,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,3446.528,14.875,-12.706,1.69633265957515e-10,3.70860507479056e-11,-3.70860507479056e-11
1,3476.01,23.003,-14.607,1.23231207427919e-10,2.70929902060379e-11,-2.70929902060379e-11
2,3508.975,15.111,-9.962,1.79958573557741e-10,3.96391012347374e-11,-3.96391012347374e-11
3,3544.632,17.063,-20.546,1.1190354032946e-10,2.50223861456349e-11,-2.50223861456349e-11
4,3576.601,17.689,-14.906,1.23676303200789e-10,2.76548584603544e-11,-2.76548584603544e-11
5,3607.952,16.427,-13.661,1.31520501116417e-10,2.87536606619234e-11,-2.87536606619234e-11
6,3640.067,16.907,-15.688,1.30152562792596e-10,2.85611228351207e-11,-2.85611228351207e-11
7,3676.012,18.571,-19.038,1.18838925624096e-10,2.67825856981357e-11,-2.67825856981357e-11
8,3725.517,24.227,-30.934,8.19702827915245e-11,1.84735436102752e-11,-1.84735436102752e-11
9,3769.792,15.054,-20.049,1.21576698331413e-10,2.72386249004833e-11,-2.72386249004833e-11
10,3803.766,13.676,-18.919,1.26115736183063e-10,2.84786396113e-11,-2.84786396113e-11
11,3830.646,19.39,-13.205,1.40232805088299e-10,3.01117543257041e-11,-3.01117543257041e-11
12,3871.198,23.97,-21.162,9.54669478199246e-11,2.14729774249155e-11,-2.14729774249155e-11
13,3916.839,15.939,-21.671,1.11295371781749e-10,2.51320091770864e-11,-2.51320091770864e-11
14,3955.098,15.289,-22.321,1.17718595827927e-10,2.5187206147394e-11,-2.5187206147394e-11
15,3991.326,24.193,-20.939,9.68848245893077e-11,2.07295857706186e-11,-2.07295857706186e-11
16,4027.514,10.571,-11.995,1.82435447408277e-10,4.00342546399719e-11,-4.00342546399719e-11
17,4059.628,18.574,-21.543,9.86658658909772e-11,2.20623513125988e-11,-2.20623513125988e-11
18,4109.279,26.591,-31.077,7.74412715322684e-11,1.65990195509234e-11,-1.65990195509234e-11
19,4149.648,21.324,-13.778,1.20886022184207e-10,2.7405855110079e-11,-2.7405855110079e-11
20,4187.146,11.407,-16.173,1.73252798951524e-10,3.71355785814947e-11,-3.71355785814947e-11
