,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,504.976,1.692,-2.043,4.78136880659544e-10,9.44911464300435e-11,-9.46085112780093e-11
1,508.44,1.706,-1.772,6.29800899525059e-10,9.59651432699011e-11,-9.61527406728676e-11
2,512.247,1.764,-2.1,5.7901083836733e-10,8.82207893742406e-11,-8.83894311399826e-11
3,516.588,2.593,-2.577,4.44298727469168e-10,6.77204394094348e-11,-6.78681357423387e-11
4,521.636,1.959,-2.455,5.33774928653551e-10,8.13329967915234e-11,-8.14918130568843e-11
5,525.133,1.952,-1.539,6.1102106449136e-10,1.05565867782579e-10,-1.05727989322788e-10
6,529.611,2.159,-2.525,4.78777088213711e-10,7.44530789583148e-11,-7.45891771840498e-11
7,533.566,1.66,-1.797,6.38333428869234e-10,9.92651884560096e-11,-9.94466988378379e-11
8,537.681,2.223,-2.454,4.73105252969069e-10,7.35789252644023e-11,-7.37192270600506e-11
9,541.82,1.621,-1.916,6.37106955920519e-10,9.70640285802443e-11,-9.72433734693801e-11
10,545.212,2.057,-1.772,5.66032052392793e-10,8.80114778039769e-11,-8.81648425484147e-11
11,549.099,1.386,-1.829,6.89409364908243e-10,1.05024874351027e-10,-1.05213388635473e-10
12,552.164,1.265,-1.679,7.56875904296536e-10,1.15302628809854e-10,-1.15509511437117e-10
13,555.257,1.901,-1.828,6.25420868445536e-10,9.33744221065877e-11,-9.35539840886841e-11
14,559.219,2.363,-2.061,5.19996602871963e-10,7.92512432776006e-11,-7.94189892857646e-11
15,563.897,1.948,-2.315,4.91221665489902e-10,8.30976162895178e-11,-8.32547657997932e-11
16,568.077,2.187,-2.232,5.07775692739349e-10,7.5846883037646e-11,-7.60194281759554e-11
17,571.911,2.001,-1.647,5.4247917594138e-10,9.57929099296288e-11,-9.59419165539057e-11
18,576.127,2.704,-2.215,4.59360437005802e-10,7.00076703253358e-11,-7.01541051152852e-11
19,580.667,1.85,-1.836,4.02294822545254e-10,7.91264105564156e-11,-7.92246648456346e-11
20,584.607,2.016,-2.09,5.55346351845904e-10,8.29197420110269e-11,-8.30846009261352e-11
21,588.04,1.985,-1.416,4.14394906830009e-10,8.05265858407382e-11,-8.06184552012653e-11
22,592.235,2.264,-2.21,4.96953778055412e-10,7.42127591340747e-11,-7.43688202828341e-11
23,596.751,2.231,-2.251,4.90909447579393e-10,7.48172888544451e-11,-7.49748760731215e-11
24,601.126,2.445,-2.145,4.66009133973815e-10,7.39819391555383e-11,-7.41153481400876e-11
25,605.71,2.465,-2.138,4.21706039923079e-10,7.61274323140302e-11,-7.62461568440194e-11
26,610.4,2.06,-2.226,5.1004457484336e-10,7.9349217241824e-11,-7.95189879275712e-11
27,614.655,2.557,-2.195,4.36082160070584e-10,7.22088621966849e-11,-7.2342932818502e-11
28,619.615,1.692,-2.403,5.31250278043018e-10,8.43700082005621e-11,-8.45443773242525e-11
29,623.933,1.756,-2.626,4.84225205036508e-10,8.01713920382625e-11,-8.03136078114378e-11
30,627.875,1.766,-2.185,5.12008833214829e-10,9.03902551196384e-11,-9.05148253539573e-11
31,631.946,2.519,-2.305,4.68839594671935e-10,6.99948256822194e-11,-7.01278308307538e-11
32,636.532,1.905,-2.067,5.22088821593953e-10,8.64331996033877e-11,-8.65812375792328e-11
33,640.361,1.515,-1.924,6.37750219826246e-10,9.71759780158343e-11,-9.73656429878889e-11
34,643.991,2.511,-2.115,4.65488668864814e-10,7.23889860780516e-11,-7.25230374110055e-11
35,648.304,1.779,-1.802,5.84337366051848e-10,9.47181981877623e-11,-9.48817072125594e-11
36,652.323,1.74,-2.24,5.17733366507687e-10,8.57016009925838e-11,-8.58406748402017e-11
37,655.815,1.821,-1.752,5.95043091005975e-10,9.44573637859132e-11,-9.46206010579602e-11
38,659.582,2.137,-1.946,5.47057097808962e-10,8.17080602333735e-11,-8.18895632498503e-11
39,664.047,2.164,-2.328,4.85548972360339e-10,7.71218131355007e-11,-7.72884418704195e-11
40,667.95,1.611,-1.739,5.78505700320746e-10,1.06786230352633e-10,-1.06950037603435e-10
41,671.343,1.73,-1.782,3.9869817361483e-10,7.99622533887038e-11,-8.00621637043237e-11
42,674.974,2.255,-1.901,3.71355404158424e-10,7.11460781544129e-11,-7.12377651251506e-11
43,679.241,1.721,-2.011,4.0745907043414e-10,7.44713861864386e-11,-7.45700893582648e-11
44,682.546,2.237,-1.584,6.07532015757909e-10,9.25628803641019e-11,-9.2737315352872e-11
45,686.671,2.014,-1.888,6.03890541430878e-10,9.20314012768751e-11,-9.2221720094871e-11
46,690.816,2.201,-2.131,5.31610805258437e-10,8.10252120428497e-11,-8.11993751771348e-11
47,694.878,1.741,-1.861,6.18390153698155e-10,9.23602682111016e-11,-9.25637525715535e-11
48,698.438,1.625,-1.818,6.36084247006365e-10,9.69531159645224e-11,-9.71649252602804e-11
49,702.276,1.745,-2.214,5.35162725081758e-10,8.4995745246656e-11,-8.51746931150334e-11
50,705.776,1.688,-1.755,4.18766073277673e-10,7.89091258670913e-11,-7.90106537175108e-11
51,709.334,2.051,-1.87,5.48423363918998e-10,8.5281984128582e-11,-8.54367891387801e-11
52,712.73,1.508,-1.346,7.5589345015437e-10,1.17551544003333e-10,-1.17770027142005e-10
53,716.493,2.38,-2.255,4.86694785745316e-10,7.41682116985277e-11,-7.4319546267906e-11
54,720.741,2.181,-1.868,5.44604629452306e-10,8.64783601341231e-11,-8.66479578816922e-11
55,725.068,1.714,-2.145,5.7641213535227e-10,9.15174093722457e-11,-9.16883563630878e-11
56,728.693,1.65,-1.912,6.48946203976939e-10,9.89009125141596e-11,-9.91078381688227e-11
57,732.708,2.33,-2.365,5.02185206629864e-10,7.50246763342092e-11,-7.52048228061452e-11
58,737.079,1.985,-2.041,5.68899462355957e-10,8.85115093737875e-11,-8.87052688964775e-11
59,741.181,2.835,-2.116,4.10609284196271e-10,6.80889799302e-11,-6.8217121523339e-11
60,745.467,1.55,-1.451,7.79463373643227e-10,1.16450721409717e-10,-1.16731515125998e-10
61,749.373,1.974,-2.356,4.82758994931001e-10,7.99469341152999e-11,-8.01020235815857e-11
62,753.794,1.932,-2.446,4.92782252280862e-10,7.66699251934208e-11,-7.68384932613315e-11
63,757.554,1.629,-1.828,6.45965941989073e-10,9.84852182361291e-11,-9.87193888761717e-11
