,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,251.482,76.017,-49.349,8.28069176693594e-12,1.86402274842363e-12,-1.86402274842363e-12
1,404.114,88.868,-76.615,6.27097395111361e-12,1.41162519334062e-12,-1.41162519334062e-12
2,557.857,70.082,-64.875,9.91825219227618e-12,2.21581838339334e-12,-2.21581838339334e-12
3,5327.714,78.416,-102.11,4.35133407122953e-12,1.13190158149826e-12,-1.13190158149826e-12
4,5505.291,91.394,-99.162,4.1165863792622e-12,1.07427612938066e-12,-1.07427612938066e-12
5,5734.32,158.228,-137.635,2.65796300608378e-12,6.94372488975091e-13,-6.94372488975091e-13
6,5991.096,124.602,-98.548,4.28645895485074e-12,1.01390757927743e-12,-1.01390757927743e-12
7,6236.726,187.713,-121.028,3.30984169711085e-12,8.43370202138502e-13,-8.43370202138502e-13
8,9998.767,269.818,-244.179,3.00834297459133e-12,5.80339191111994e-13,-5.80339191111994e-13
9,11255.225,231.839,-214.462,1.95784464431257e-12,5.09536806954204e-13,-5.09536806954204e-13
10,11748.786,454.845,-261.722,1.54027085270581e-12,3.91364024283928e-13,-3.91364024283928e-13
11,15758.754,256.754,-212.112,1.95256098118093e-12,5.07625341242068e-13,-5.07625341242068e-13
12,16262.648,301.96,-247.14,1.65987029793715e-12,4.34064344076002e-13,-4.34064344076002e-13
13,16770.51,207.804,-205.902,2.20946123078537e-12,5.76554689800152e-13,-5.76554689800152e-13
14,17432.907,562.595,-454.593,1.5248843341431e-12,3.13744848617347e-13,-3.13744848617347e-13
15,21694.874,264.499,-362.328,1.3636819394435e-12,3.54826417106716e-13,-3.54826417106716e-13
16,22238.379,402.982,-279.006,1.25185143887644e-12,3.27539096937813e-13,-3.27539096937813e-13
17,23184.646,597.533,-543.286,1.19661159027356e-12,2.47826139642974e-13,-2.47826139642974e-13
18,33893.566,1443.825,-1010.824,6.11721659516472e-13,1.23446718254185e-13,-1.23446718254185e-13
19,39800.253,1327.194,-1242.07,5.75813495577214e-13,1.19664277913819e-13,-1.19664277913819e-13
20,44613.531,273.065,-273.529,1.60992087106548e-12,4.22092917184286e-13,-4.22092917184286e-13
21,45757.167,1146.956,-870.571,5.49062206282844e-13,1.31949490270372e-13,-1.31949490270372e-13
22,54431.594,9231.053,-4309.393,6.02292757014065e-13,9.50684649412146e-14,-9.50684649412146e-14
23,103444.06,12478.251,-11442.536,3.00201327007227e-13,6.94859765031513e-14,-6.94859765031513e-14
24,147699.202,26298.998,-27385.871,1.37998653200094e-13,2.77788620429943e-14,-2.77788620429943e-14
25,279291.145,137350.21,-48070.959,3.3922362099166e-14,1.33331004779463e-14,-1.07787489319239e-14
