time_sec,timePos_sec,timeNeg_sec,flux,flux_errPos,flux_errNeg
1285.693,3271.712,-642.892,6.32434861737009e-11,9.86272057535007e-12,-9.86272057535007e-12
43394.259,3191.455,-8672.789,4.11635677737821e-12,8.26402867094316e-13,-8.26402867094316e-13
150322.569,68076.134,-58801.833,7.41308381619043e-13,1.89905383020788e-13,-1.89905383020788e-13
312135.979,72462.955,-43821.266,7.24363053878966e-13,1.87705173856983e-13,-1.87705173856983e-13
509516.962,41281.059,-23460.274,2.82720006592563e-13,1.41570179732085e-13,-1.09715742357991e-13
