,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,631.112,68.892,-76.532,9.77E-12,2.19E-12,-2.19E-12
1,799.309,136.382,-99.306,5.68E-12,1.36E-12,-1.36E-12
2,1238.298,389.404,-302.607,3.01E-12,5.72E-13,-5.72E-13
3,5045.957,189.252,-176.816,2.66E-12,7.01E-13,-7.01E-13
4,5416.709,89.289,-181.501,3.59E-12,9.34E-13,-9.34E-13
5,5626.421,82.67,-120.422,4.94E-12,1.28E-12,-1.28E-12
6,5837.421,117.387,-128.33,4.15E-12,1.08E-12,-1.08E-12
7,6149.876,176.015,-195.068,2.83E-12,7.38E-13,-7.38E-13
8,6503.261,75.869,-177.37,4.29E-12,1.12E-12,-1.12E-12
9,6788.411,166.816,-209.281,2.87E-12,7.46E-13,-7.46E-13
10,7187.526,216.495,-232.298,4.35E-12,8.31E-13,-8.31E-13
11,10948.826,183.623,-164.894,2.67E-12,6.93E-13,-6.93E-13
12,11346.518,244.77,-214.069,2.03E-12,5.29E-13,-5.29E-13
13,11787.003,157.817,-195.715,2.58E-12,6.76E-13,-6.76E-13
14,12564.672,616.239,-619.851,1.02E-12,2.23E-13,-2.23E-13
15,56722.218,7201.3376,-1016.2969,2.60E-13,4.31E-14,-4.31E-14
