,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
,170.453,29.762,-27.907,1.29672361825545e-10,2.91161088853438e-11,-2.91161088853438e-11
,242.312,35.630,-42.097,1.05439698929611e-10,2.22458483879723e-11,-2.22458483879723e-11
,310.174,32.959,-32.231,1.05835907749862e-10,2.37639621503153e-11,-2.37639621503153e-11
,390.616,45.289,-47.483,8.26343628647301e-11,1.77176813347572e-11,-1.77176813347572e-11
,481.482,47.193,-45.578,8.44240760717974e-11,1.8532396980224e-11,-1.8532396980224e-11
,566.799,47.125,-38.124,9.04385304167331e-11,2.03066982026124e-11,-2.03066982026124e-11
,651.766,39.886,-37.841,1.05259209007758e-10,2.37331000371851e-11,-2.37331000371851e-11
,766.934,77.665,-75.282,5.39713310457406e-11,1.22459854493201e-11,-1.22459854493201e-11
,943.051,84.581,-98.452,3.18429374212331e-11,6.57521992746378e-12,-6.57521992746378e-12
,4762.537,442.535,-379.859,5.04219702080257e-12,1.19226694127556e-12,-1.19226694127556e-12
,12015.487,4733.492,-2080.848,1.55822659690795e-12,3.90034416989781e-13,-3.90034416989781e-13
