,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
,101.324,21.718,-13.384,6.52785509913368e-11,1.46390534961552e-11,-1.46390534961552e-11
,170.892,54.950,-47.85,2.29056223504215e-11,5.16666259234853e-12,-5.16666259234853e-12
,293.102,48.076,-67.26,2.57866278450832e-11,5.51221578486148e-12,-5.51221578486148e-12
,369.719,31.635,-28.541,4.66083356609746e-11,1.04825522039005e-11,-1.04825522039005e-11
,445.161,43.949,-43.807,3.36849307501297e-11,7.4118740823645e-12,-7.4118740823645e-12
,536.854,42.520,-47.743,3.12547298462457e-11,7.04991029387847e-12,-7.04991029387847e-12
,610.424,46.677,-31.05,3.45185838890912e-11,7.78611721314894e-12,-7.78611721314894e-12
,711.910,37.961,-54.809,3.05044050647739e-11,6.61657459790568e-12,-6.61657459790568e-12
,780.306,22.219,-30.435,4.99502586087873e-11,1.12669325597982e-11,-1.12669325597982e-11
,849.925,30.326,-47.4,3.7258719374035e-11,8.4041895514628e-12,-8.4041895514628e-12
,907.573,22.825,-27.322,6.85463066932945e-11,1.46913489726853e-11,-1.46913489726853e-11
,965.598,42.527,-35.2,4.22557954383879e-11,9.58724759813334e-12,-9.58724759813334e-12
,1053.345,45.044,-45.22,3.79121884615554e-11,8.60174802221916e-12,-8.60174802221916e-12
,1153.136,45.545,-54.748,3.47882369256447e-11,7.86988493770209e-12,-7.86988493770209e-12
,1219.435,26.886,-20.753,6.8924858821422e-11,1.55242674559706e-11,-1.55242674559706e-11
,1270.804,23.156,-24.483,6.73464154171334e-11,1.5124713741675e-11,-1.5124713741675e-11
,1336.161,43.047,-42.202,3.61781861099324e-11,8.20832568761229e-12,-8.20832568761229e-12
,1421.129,35.806,-41.921,3.78387458690369e-11,8.53501979678176e-12,-8.53501979678176e-12
,1503.423,36.254,-46.487,3.43724507065558e-11,7.59477370195302e-12,-7.59477370195302e-12
,1589.330,18.045,-49.653,4.17808265838034e-11,9.18051459067267e-12,-9.18051459067267e-12
,1693.912,98.992,-86.537,2.55923642650824e-11,4.3655628326407e-12,-4.3655628326407e-12
,32683.945,2593.740,-3493.63,1.4133974008212e-12,3.69813229423026e-13,-3.69813229423026e-13
,35668.797,561.994,-391.112,2.46045127287349e-12,4.72171303179264e-13,-4.72171303179264e-13
,41043.004,411.252,-411.142,1.79762178836512e-12,3.98468143922993e-13,-3.98468143922993e-13
,46490.106,665.543,-525.424,1.18576949695691e-12,2.58147193742254e-13,-2.58147193742254e-13
,70679.545,3642.217,-1482.062,9.79266497485189e-13,2.6212254154298e-13,-2.6212254154298e-13
,75036.767,1159.179,-715.005,8.58532716791208e-13,2.04351403940252e-13,-2.04351403940252e-13
,81048.294,5315.372,-1151.21,7.06802920320878e-13,1.7115739203189e-13,-1.7115739203189e-13
,237944.491,169571.763,-37627.085,1.21037594786531e-13,3.86358088308625e-14,-3.2284201630643e-14
