time_sec,timePos_sec,timeNeg_sec,flux,flux_errPos,flux_errNeg
224.329,0.753,-0.996,1.78996556849659e-09,2.66832545469652e-10,-2.66832481455411e-10
225.983,1.026,-0.901,1.62163064177515e-09,2.41738662608038e-10,-2.41738598709294e-10
227.796,0.737,-0.787,2.01687386871228e-09,3.0682416049406e-10,-3.06824096641719e-10
229.255,0.557,-0.722,2.36668506982387e-09,3.6749165849671e-10,-3.67491594656839e-10
230.622,0.81,-0.809,1.9023640740164e-09,2.89403905967621e-10,-2.89403842015904e-10
232.227,0.794,-0.795,1.9135268343497e-09,2.9712658122628e-10,-2.9712658122628e-10
233.718,0.594,-0.697,2.44214812820948e-09,3.64054306887661e-10,-3.64054242385035e-10
234.986,0.562,-0.674,2.52357194509012e-09,3.83907334583219e-10,-3.83907269792068e-10
236.28,0.722,-0.731,2.13944083824753e-09,3.25470101734677e-10,-3.25470037164002e-10
237.55,0.799,-0.548,2.3012393288981e-09,3.50084240145973e-10,-3.5008417578558e-10
239.109,0.677,-0.76,2.17513371710291e-09,3.30899982378013e-10,-3.3089991745857e-10
240.65,0.923,-0.864,1.73817465305592e-09,2.69898494440401e-10,-2.69898428969594e-10
241.9793,0.5772,-0.4067,3.22492356453469e-09,4.90603075299548e-10,-4.90602943536208e-10
243.329,0.898,-0.772,1.94055096256574e-09,2.89280567155518e-10,-2.89280500856367e-10
245.128,0.812,-0.901,1.87556703356606e-09,2.79593265604743e-10,-2.79593199887999e-10
246.596,0.779,-0.655,2.18712893685946e-09,3.32724836892716e-10,-3.32724771771315e-10
247.93,0.508,-0.556,3.02087946714692e-09,4.45404875422432e-10,-4.45404746823751e-10
249.065,1.062,-0.627,1.84082907791146e-09,2.74414927781309e-10,-2.74414864219403e-10
251.036,0.996,-0.909,1.62553808132366e-09,2.42321136301914e-10,-2.42321072959521e-10
253.297,0.819,-1.265,1.47059715925613e-09,2.2371987716498e-10,-2.23719813549334e-10
255.001,1.014,-0.886,1.62288321014938e-09,2.46886944858011e-10,-2.46886880829554e-10
256.921,0.753,-0.906,1.82537841987714e-09,2.8936061991473e-10,-2.8936055508214e-10
258.276,0.731,-0.602,2.39994462734282e-09,3.57763038613718e-10,-3.57762907808724e-10
259.972,0.954,-0.966,1.64002213590872e-09,2.49494210470805e-10,-2.49494210470805e-10
261.722,0.713,-0.796,2.11124883305997e-09,3.14726746400849e-10,-3.14726681259938e-10
263.347,0.849,-0.912,1.77717040629299e-09,2.70358388409192e-10,-2.70358388409192e-10
264.882,0.666,-0.686,2.34779905723011e-09,3.49989651446475e-10,-3.49989586517811e-10
266.019,0.602,-0.471,2.96177026432978e-09,4.41515104331322e-10,-4.41515039358363e-10
267.511,0.843,-0.89,1.87220296954838e-09,2.79091838124403e-10,-2.79091771776741e-10
269.357,0.88,-1.003,1.76848735985456e-09,2.63630826906473e-10,-2.63630758828579e-10
271.178,0.982,-0.941,1.72161149299852e-09,2.56642987215332e-10,-2.56642987215332e-10
273.1,0.982,-0.941,1.64433587976378e-09,2.5532740633662e-10,-2.55327341552491e-10
274.918,0.689,-0.836,2.10082795185204e-09,3.13173322007365e-10,-3.13173258368841e-10
276.671,0.929,-1.064,1.60990432197002e-09,2.39990648407388e-10,-2.39990584669677e-10
278.524,1.049,-0.924,1.62972212383447e-09,2.4294489119562e-10,-2.42944827316362e-10
280.709,0.733,-1.136,1.68349986599388e-09,2.61408708946721e-10,-2.61408644520986e-10
282.274,0.723,-0.833,2.05588166621898e-09,3.06473053895054e-10,-3.06473053895054e-10
283.782,1.094,-0.785,1.6772029098686e-09,2.50022907474718e-10,-2.50022907474718e-10
285.963,1.319,-1.086,1.2938198221158e-09,1.92871544557083e-10,-1.92871480911972e-10
288.124,0.962,-0.842,1.69624134158738e-09,2.58046772720128e-10,-2.58046709176663e-10
289.798,0.668,-0.712,2.24284993465817e-09,3.41201498141313e-10,-3.4120143385227e-10
291.262,0.818,-0.796,1.93828953285848e-09,2.94869170554544e-10,-2.94869105609865e-10
293.009,0.84,-0.929,1.73326696588928e-09,2.69136387029164e-10,-2.69136322393901e-10
294.685,0.863,-0.836,1.84816684151154e-09,2.75508792038734e-10,-2.7550872782043e-10
296.525,0.631,-0.977,1.94165850507886e-09,2.89445609399847e-10,-2.89445545535908e-10
298.325,0.988,-1.169,1.44397464092138e-09,2.15255304233926e-10,-2.15255240557798e-10
300.156,0.724,-0.844,1.98058385621868e-09,2.95248365721918e-10,-2.95248302235114e-10
301.454,0.561,-0.574,2.76081827982794e-09,4.11558860502113e-10,-4.11558796414689e-10
302.976,1.062,-0.961,1.56638098875767e-09,2.33502595903725e-10,-2.33502531099983e-10
304.813,0.79,-0.775,1.96240417137533e-09,3.04716072694292e-10,-3.04716007912015e-10
306.358,0.816,-0.755,2.0064195633637e-09,2.99099645666131e-10,-2.99099581204736e-10
307.969,0.716,-0.795,2.05242615603154e-09,3.12232676947486e-10,-3.1223261257568e-10
309.941,1.076,-1.256,1.35514443809214e-09,2.02013219654277e-10,-2.02013219654277e-10
311.878,0.949,-0.86,1.72752337743365e-09,2.62805688061078e-10,-2.62805688061078e-10
313.792,1.081,-0.965,1.53829329147617e-09,2.2931544588443e-10,-2.2931544588443e-10
315.935,0.765,-1.062,1.70202632467541e-09,2.53723411911186e-10,-2.53723348308096e-10
317.722,1.115,-1.022,1.4522595148611e-09,2.16490248641321e-10,-2.16490248641321e-10
319.87,0.805,-1.033,1.68044924606995e-09,2.55644377836788e-10,-2.55644313710598e-10
321.557,0.725,-0.883,1.92544837412123e-09,2.92915717430847e-10,-2.92915717430847e-10
322.978,0.875,-0.696,1.98611282666884e-09,2.96072518176984e-10,-2.96072454368857e-10
324.91,0.961,-1.056,1.48862898329275e-09,2.31149734374212e-10,-2.3114967104347e-10
326.762,0.832,-0.891,1.80344745832582e-09,2.68842334483746e-10,-2.68842270966755e-10
328.472,0.927,-0.879,1.69746600954136e-09,2.58233012059245e-10,-2.58233012059245e-10
330.552,1.219,-1.153,1.31288005501855e-09,1.95712745022299e-10,-1.95712745022299e-10
332.509,0.662,-0.738,2.20285581542203e-09,3.35117317631925e-10,-3.35117253588419e-10
334.207,0.786,-1.036,1.75234511305505e-09,2.612244724884e-10,-2.61224407200758e-10
335.736,0.627,-0.743,2.37065010559072e-09,3.53396055927821e-10,-3.53395989504748e-10
337.436,1.181,-1.073,1.47131087546165e-09,2.19330323678498e-10,-2.19330255854837e-10
339.469,0.709,-0.852,2.14985247344506e-09,3.27054004564341e-10,-3.27053934905493e-10
341.134,1.002,-0.957,1.77721555466119e-09,2.6493189263742e-10,-2.6493189263742e-10
343.011,1.002,-0.875,1.83696812977164e-09,2.73839270082048e-10,-2.73839270082048e-10
344.921,0.903,-0.908,1.79546552600238e-09,2.73141557993089e-10,-2.73141490469584e-10
346.734,0.94,-0.91,1.69442143939374e-09,2.5776994147619e-10,-2.57769876315207e-10
349.167,0.819,-1.492,1.36263823100684e-09,2.03130329491008e-10,-2.03130329491008e-10
350.868,0.854,-0.882,1.80402262377494e-09,2.68928166117664e-10,-2.68928101984306e-10
352.892,1.128,-1.17,1.34944863109891e-09,2.05289676778478e-10,-2.05289612299392e-10
354.832,0.73,-0.811,2.05461043509435e-09,3.06283581105986e-10,-3.06283516295641e-10
356.493,0.953,-0.931,1.69691265804012e-09,2.52961036210536e-10,-2.52961036210536e-10
358.205,0.932,-0.76,1.91030390064202e-09,2.84771586009177e-10,-2.84771586009177e-10
360.089,0.696,-0.952,1.89418244294824e-09,2.94122875406187e-10,-2.94122809602102e-10
361.69,0.878,-0.905,1.77898846993136e-09,2.65196233799869e-10,-2.65196168944174e-10
363.411,0.841,-0.844,1.82531100148492e-09,2.77681938000953e-10,-2.7768187414493e-10
364.9,0.765,-0.648,2.20792624162181e-09,3.29138537169273e-10,-3.2913847337837e-10
366.845,1.105,-1.18,1.34493818528759e-09,2.04603555890028e-10,-2.04603555890028e-10
368.716,0.631,-0.767,2.19688333657659e-09,3.34208737221602e-10,-3.34208673430961e-10
370.205,0.97,-0.857,1.68135921482249e-09,2.55782772556847e-10,-2.55782708765991e-10
