,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,3967.691,145.55,-180.401,5.79E-12,1.52E-12,-1.52E-12
1,4258.891,87.53,-145.65,7.91E-12,2.06E-12,-2.06E-12
2,4539.024,108.276,-192.602,6.15E-12,1.60E-12,-1.60E-12
3,4771.232,141.844,-123.932,6.92E-12,1.81E-12,-1.81E-12
4,5059.616,149.323,-146.541,6.24E-12,1.62E-12,-1.62E-12
5,5426.628,185.988,-217.689,4.55E-12,1.19E-12,-1.19E-12
6,5822.944,103.085,-210.329,5.94E-12,1.54E-12,-1.54E-12
7,6117.73,199.426,-191.701,4.72E-12,1.22E-12,-1.22E-12
8,10451.928,5449.83,-600.725,4.59E-12,1.04E-12,-1.04E-12
9,27464.92,1277.676,-4575.218,2.93E-12,6.11E-13,-6.11E-13
10,34286.199,714.396,-499.137,5.16E-12,1.27E-12,-1.27E-12
11,39855.093,884.506,-1608.548,2.59E-12,6.03E-13,-6.03E-13
12,45555.672,919.622,-1567.828,1.91E-12,4.77E-13,-4.77E-13
13,52830.979,3861.345,-1236.95,3.69E-12,9.61E-13,-9.61E-13
14,57198.489,749.992,-506.165,1.91E-12,4.88E-13,-4.88E-13
15,63058.208,628.828,-674.968,2.16E-12,5.37E-13,-5.37E-13
16,68630.964,5359.016,-546.815,1.52E-12,4.00E-13,-4.00E-13
17,186067.798,11771.5545,-9512.4407,5.01E-13,7.65E-14,-7.65E-14
18,408706.442,50776.909,-25041.04,3.82E-13,1.11E-13,-1.11E-13
19,469756.505,5805.674,-5866.484,1.79E-13,1.04E-13,-7.68E-14
