,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,159.757,0.529,-0.641,2.30E-09,3.82E-10,-3.82E-10
1,160.882,0.621,-0.596,2.27E-09,3.38E-10,-3.38E-10
2,162.363,0.775,-0.86,1.40E-09,2.21E-10,-2.21E-10
3,163.842,0.503,-0.704,1.62E-09,2.77E-10,-2.77E-10
4,165.13,0.697,-0.785,1.47E-09,2.25E-10,-2.25E-10
5,166.719,0.799,-0.893,1.27E-09,2.06E-10,-2.06E-10
6,168.264,0.676,-0.746,1.39E-09,2.32E-10,-2.32E-10
7,169.83,0.893,-0.89,1.11E-09,1.70E-10,-1.70E-10
8,171.414,0.486,-0.692,1.68E-09,2.51E-10,-2.51E-10
9,172.672,0.692,-0.772,1.33E-09,2.04E-10,-2.04E-10
10,174.114,0.8,-0.75,1.19E-09,2.03E-10,-2.03E-10
11,175.542,0.633,-0.628,1.67E-09,2.63E-10,-2.63E-10
12,176.919,0.696,-0.743,1.60E-09,2.45E-10,-2.45E-10
13,178.471,0.964,-0.856,1.25E-09,1.86E-10,-1.86E-10
14,180.268,0.854,-0.833,1.24E-09,1.96E-10,-1.96E-10
15,182.011,1.089,-0.889,1.07E-09,1.69E-10,-1.69E-10
16,183.82,0.62,-0.72,1.68E-09,2.57E-10,-2.57E-10
17,185.432,0.985,-0.993,1.14E-09,1.84E-10,-1.84E-10
18,187.381,1.153,-0.963,1.14E-09,1.80E-10,-1.80E-10
19,189.333,0.805,-0.8,1.51E-09,2.25E-10,-2.25E-10
20,191.15,0.981,-1.012,1.13E-09,1.68E-10,-1.68E-10
21,193.455,1.524,-1.324,7.15E-10,1.16E-10,-1.16E-10
22,196.095,1.298,-1.116,8.93E-10,1.41E-10,-1.41E-10
23,198.629,1.04,-1.235,9.62E-10,1.56E-10,-1.56E-10
24,200.859,1.023,-1.191,9.93E-10,1.56E-10,-1.56E-10
25,203.068,1.137,-1.186,9.73E-10,1.45E-10,-1.45E-10
26,205.187,1.276,-0.982,1.03E-09,1.53E-10,-1.53E-10
27,207.559,1.059,-1.096,1.01E-09,1.69E-10,-1.69E-10
28,209.389,0.88,-0.771,1.31E-09,2.11E-10,-2.11E-10
29,211.044,0.708,-0.775,1.44E-09,2.27E-10,-2.27E-10
30,213.005,1.281,-1.252,8.66E-10,1.44E-10,-1.44E-10
31,215.538,1.217,-1.252,1.03E-09,1.57E-10,-1.57E-10
32,218.329,1.307,-1.574,8.28E-10,1.38E-10,-1.38E-10
33,220.966,1.424,-1.33,8.77E-10,1.34E-10,-1.34E-10
34,223.646,1.041,-1.256,1.01E-09,1.55E-10,-1.55E-10
35,226.138,1.47,-1.451,7.83E-10,1.20E-10,-1.20E-10
36,230.026,2.02,-2.417,5.05E-10,7.73E-11,-7.73E-11
37,233.372,1.449,-1.326,7.55E-10,1.22E-10,-1.22E-10
38,236.532,1.749,-1.711,6.07E-10,1.20E-10,-1.20E-10
39,239.515,1.056,-1.234,1.22E-09,2.02E-10,-2.02E-10
40,242.146,1.67,-1.575,9.28E-10,1.46E-10,-1.46E-10
41,245.864,1.35,-2.048,8.02E-10,1.20E-10,-1.20E-10
42,248.292,1.119,-1.078,1.09E-09,1.81E-10,-1.81E-10
43,250.948,1.465,-1.536,7.66E-10,1.39E-10,-1.39E-10
44,254.486,2.328,-2.074,4.26E-10,9.85E-11,-9.85E-11
45,258.742,1.931,-1.928,5.93E-10,9.32E-11,-9.32E-11
46,262.55,1.654,-1.877,6.47E-10,9.90E-11,-9.90E-11
47,265.408,1.693,-1.203,8.68E-10,1.29E-10,-1.29E-10
48,268.879,2.327,-1.778,5.19E-10,1.06E-10,-1.06E-10
49,272.985,1.396,-1.779,8.22E-10,1.24E-10,-1.24E-10
50,275.915,1.327,-1.534,7.24E-10,1.39E-10,-1.39E-10
51,278.268,1.696,-1.026,8.02E-10,1.26E-10,-1.26E-10
52,281.679,1.784,-1.715,5.46E-10,8.58E-11,-8.58E-11
53,284.962,1.265,-1.498,7.69E-10,1.15E-10,-1.15E-10
54,287.625,1.345,-1.398,7.64E-10,1.27E-10,-1.27E-10
55,290.864,1.276,-1.895,7.61E-10,1.17E-10,-1.17E-10
56,293.249,1.387,-1.109,1.03E-09,1.57E-10,-1.57E-10
57,295.987,1.428,-1.351,9.72E-10,1.45E-10,-1.45E-10
58,299.154,1.592,-1.738,7.48E-10,1.24E-10,-1.24E-10
59,301.948,1.322,-1.202,9.42E-10,1.57E-10,-1.57E-10
60,304.784,1.176,-1.514,8.20E-10,1.29E-10,-1.29E-10
61,307.416,1.681,-1.455,6.71E-10,1.03E-10,-1.03E-10
62,310.425,1.434,-1.329,8.78E-10,1.34E-10,-1.34E-10
63,313.723,1.406,-1.863,8.65E-10,1.32E-10,-1.32E-10
64,316.782,0.997,-1.654,9.35E-10,1.47E-10,-1.47E-10
65,318.814,0.944,-1.035,1.17E-09,1.74E-10,-1.74E-10
66,321.256,1.403,-1.498,7.24E-10,1.17E-10,-1.17E-10
67,323.893,1.261,-1.234,9.20E-10,1.41E-10,-1.41E-10
68,326.526,1.278,-1.373,8.58E-10,1.35E-10,-1.35E-10
69,329.14,1.151,-1.336,8.85E-10,1.39E-10,-1.39E-10
70,331.388,1.079,-1.097,1.09E-09,1.63E-10,-1.63E-10
71,333.605,1.011,-1.138,1.19E-09,1.87E-10,-1.87E-10
72,336.429,1.449,-1.812,8.19E-10,1.29E-10,-1.29E-10
73,339.493,1.232,-1.615,8.37E-10,1.39E-10,-1.39E-10
74,342.228,1.325,-1.503,8.27E-10,1.34E-10,-1.34E-10
75,345.001,1.374,-1.448,8.57E-10,1.31E-10,-1.31E-10
76,348.041,1.346,-1.666,6.76E-10,1.34E-10,-1.34E-10
77,351.202,1.467,-1.816,7.35E-10,1.26E-10,-1.26E-10
78,353.713,1.425,-1.044,1.06E-09,1.71E-10,-1.71E-10
79,356.43,1.022,-1.291,1.22E-09,1.87E-10,-1.87E-10
80,358.673,1.196,-1.221,1.15E-09,1.81E-10,-1.81E-10
81,361.103,1.193,-1.234,9.34E-10,1.90E-10,-1.90E-10
82,363.829,1.877,-1.533,7.59E-10,1.30E-10,-1.30E-10
83,367.208,1.478,-1.502,9.62E-10,1.47E-10,-1.47E-10
84,370.385,1.246,-1.699,9.26E-10,1.54E-10,-1.54E-10
85,372.859,1.179,-1.228,1.14E-09,1.84E-10,-1.84E-10
86,375.226,0.963,-1.188,1.31E-09,2.00E-10,-2.00E-10
87,377.482,1.459,-1.293,9.28E-10,1.50E-10,-1.50E-10
88,380.126,1.161,-1.184,9.55E-10,1.68E-10,-1.68E-10
89,382.544,1.491,-1.258,9.24E-10,1.49E-10,-1.49E-10
90,385.121,1.161,-1.086,1.29E-09,2.02E-10,-2.02E-10
91,388.043,1.695,-1.761,8.15E-10,1.21E-10,-1.21E-10
92,390.882,0.91,-1.145,1.08E-09,1.74E-10,-1.74E-10
93,393.769,1.606,-1.977,5.51E-10,8.91E-11,-8.91E-11
94,397.213,1.699,-1.838,6.38E-10,9.77E-11,-9.77E-11
95,400.156,1.443,-1.244,8.76E-10,1.42E-10,-1.42E-10
96,403.102,1.728,-1.503,7.49E-10,1.32E-10,-1.32E-10
97,406.26,1.509,-1.43,9.65E-10,1.56E-10,-1.56E-10
98,408.819,1.178,-1.051,1.14E-09,1.84E-10,-1.84E-10
99,411.208,1.111,-1.21,9.18E-10,1.62E-10,-1.62E-10
100,413.509,1.245,-1.189,9.70E-10,1.45E-10,-1.45E-10
101,416.279,1.259,-1.526,7.70E-10,1.35E-10,-1.35E-10
102,419.036,1.757,-1.499,7.68E-10,1.21E-10,-1.21E-10
103,422.353,1.488,-1.559,7.11E-10,1.59E-10,-1.59E-10
104,425.452,1.654,-1.611,7.98E-10,1.36E-10,-1.36E-10
105,428.813,1.856,-1.708,6.74E-10,1.03E-10,-1.03E-10
106,432.195,1.594,-1.526,7.08E-10,1.08E-10,-1.08E-10
107,435.613,1.91,-1.823,5.99E-10,9.17E-11,-9.17E-11
108,439.566,1.986,-2.044,5.49E-10,8.88E-11,-8.88E-11
109,443.083,1.933,-1.531,6.66E-10,1.08E-10,-1.08E-10
110,446.541,1.231,-1.525,7.74E-10,1.44E-10,-1.44E-10
111,450.012,2.076,-2.24,4.97E-10,9.27E-11,-9.27E-11
112,454.003,2.049,-1.915,5.92E-10,9.32E-11,-9.32E-11
113,458.375,1.874,-2.323,4.59E-10,8.31E-11,-8.31E-11
114,462.045,2.762,-1.796,3.76E-10,6.94E-11,-6.94E-11
115,466.381,1.696,-1.574,6.78E-10,1.16E-10,-1.16E-10
116,470.134,1.819,-2.057,6.81E-10,1.10E-10,-1.10E-10
117,473.775,1.502,-1.822,7.96E-10,1.25E-10,-1.25E-10
