,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,537.698,16.458,-33.688,1.70E-10,3.83E-11,-3.83E-11
1,566.309,12.921,-12.153,2.01E-10,4.30E-11,-4.30E-11
2,593.871,7.925,-14.641,1.77E-10,3.98E-11,-3.98E-11
3,614.833,7.021,-13.038,2.19E-10,4.48E-11,-4.48E-11
4,633.812,13.115,-11.958,1.67E-10,3.66E-11,-3.66E-11
5,663.382,13.632,-16.455,1.72E-10,3.61E-11,-3.61E-11
6,691.503,13.092,-14.488,1.81E-10,4.07E-11,-4.07E-11
7,718.704,13.471,-14.109,2.04E-10,4.49E-11,-4.49E-11
8,747.858,11.897,-15.683,2.08E-10,4.46E-11,-4.46E-11
9,776.715,18.143,-16.96,1.37E-10,3.08E-11,-3.08E-11
10,812.457,20.011,-17.599,1.21E-10,2.73E-11,-2.73E-11
11,850.654,26.945,-18.186,1.09E-10,2.45E-11,-2.45E-11
12,901.217,19.006,-23.618,1.28E-10,2.88E-11,-2.88E-11
13,949.567,35.846,-29.344,8.96E-11,2.02E-11,-2.02E-11
14,1021.759,23.828,-36.346,1.08E-10,2.32E-11,-2.32E-11
15,5319.299,42.177,-48.086,1.52E-11,3.43E-12,-3.43E-12
16,5397.025,57.223,-35.548,1.48E-11,3.35E-12,-3.35E-12
17,5500.919,58.635,-46.672,1.36E-11,2.99E-12,-2.99E-12
18,5628.159,46.732,-68.605,1.15E-11,2.61E-12,-2.61E-12
19,5724.079,48.597,-49.188,1.32E-11,2.95E-12,-2.95E-12
20,5835.004,65.545,-62.328,9.67E-12,2.17E-12,-2.17E-12
21,5934.48,43.795,-33.931,1.53E-11,3.42E-12,-3.42E-12
22,6011.82,44.182,-33.544,1.47E-11,3.30E-12,-3.30E-12
23,6123.867,44.964,-67.865,9.89E-12,2.23E-12,-2.23E-12
24,6219.661,44.449,-50.829,1.21E-11,2.72E-12,-2.72E-12
25,6322.311,54.627,-58.202,1.05E-11,2.35E-12,-2.35E-12
26,6420.526,39.153,-43.588,1.55E-11,3.39E-12,-3.39E-12
27,6510.774,44.183,-51.095,1.33E-11,2.99E-12,-2.99E-12
28,6613.435,61.873,-58.478,1.15E-11,2.53E-12,-2.53E-12
29,6742.934,70.269,-67.626,1.11E-11,2.34E-12,-2.34E-12
30,11350.58,41.172,-49.092,1.28E-11,2.80E-12,-2.80E-12
31,11445.967,93.716,-54.216,7.42E-12,1.67E-12,-1.67E-12
32,11617.737,104.979,-78.054,1.17E-11,1.90E-12,-1.90E-12
33,12030.225,106.982,-119.145,4.93E-12,1.28E-12,-1.28E-12
34,12192.554,77.541,-55.346,8.69E-12,1.96E-12,-1.96E-12
35,12428.567,154.94,-158.472,6.05E-12,1.07E-12,-1.07E-12
36,17425.258,133.869,-119.369,3.46E-12,9.05E-13,-9.05E-13
37,17701.936,170.605,-142.809,2.78E-12,7.27E-13,-7.27E-13
38,17980.413,112.772,-107.871,4.20E-12,1.06E-12,-1.06E-12
39,18201.225,150.208,-108.04,4.94E-12,1.06E-12,-1.06E-12
40,21844.913,234.069,-247.333,3.44E-12,6.48E-13,-6.48E-13
41,23700.97,419.595,-390.262,2.05E-12,3.93E-13,-3.93E-13
42,27614.177,193.065,-250.731,1.80E-12,4.72E-13,-4.72E-13
43,28615.582,1275.225,-808.34,1.57E-12,2.80E-13,-2.80E-13
44,33518.033,459.144,-383.316,1.11E-12,2.94E-13,-2.94E-13
45,34811.149,848.419,-833.973,1.07E-12,2.07E-13,-2.07E-13
46,39423.492,277.929,-521.905,1.14E-12,2.99E-13,-2.99E-13
47,40089.037,439.799,-387.616,1.10E-12,2.90E-13,-2.90E-13
48,40863.182,565.763,-334.346,1.08E-12,2.77E-13,-2.77E-13
49,45445.387,323.49,-774.714,7.66E-13,2.05E-13,-2.05E-13
50,46365.494,830.03,-596.617,7.93E-13,1.82E-13,-1.82E-13
51,61533.474,8601.179,-5272.619,5.05E-13,9.08E-14,-9.08E-14
52,116505.34,8636.2627,-2466.9689,1.37E-13,3.81E-14,-3.81E-14
53,238378.268,7987.101,-3051.8226,6.48E-14,3.10E-14,-2.40E-14
