time_sec,timePos_sec,timeNeg_sec,flux,flux_errPos,flux_errNeg
5665.919,1010.207,-1232.24,1.81251379854178e-12,3.49225746065826e-13,-3.49225746065826e-13
11465.535,704.548,-521.521,1.60955253095935e-12,4.3337239842036e-13,-4.3337239842036e-13
31261.959,26544.586,-13989.683,8.29618790842992e-13,1.7282826574191e-13,-1.7282826574191e-13
81391.544,10350.014,-7942.862,4.83005114068044e-13,1.10696599379877e-13,-1.10696599379877e-13
130750.343,11081.529,-6176.869,4.69795421372513e-13,1.24318249232228e-13,-1.24318249232228e-13
216539.529,11707.786,-6333.598,2.60009280742646e-13,9.52550199300431e-14,-7.78092329005069e-14
